Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	10.7037	95.6144	828.816788	10.111027	39.1004	96.50153060123986	83.0	6.5756540002579555	39.0	83.84490095138364	100	10.0	10.477582
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	14.770800000000001	95.73469999999999	961.481108	12.067926	40.027	94.20705053699051	79.0	10.081145238616031	40.0	80.03699885940698	92	10.0	12.810003
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	12.5243	95.73660000000001	1411.459463	17.318269	39.0043	95.68760487942848	82.0	9.114624815532608	38.0	82.76333197762344	100	10.0	18.098758999999998
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	15.4165	95.6534	833.104609	10.2869	39.5062	95.93296955481149	82.0	8.966544671283003	39.0	82.45859370803416	94	10.0	10.723008
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	17.7642	95.5739	846.860786	10.2126	39.183	95.44853502770387	83.0	10.954740881681147	39.0	84.19208010626204	100	10.0	10.699588
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	12.867500000000001	95.6311	814.9569389999999	9.920534	38.951	96.20477091793225	83.0	6.943378176355878	38.0	83.82383052036803	100	10.0	10.311893999999999
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	15.490499999999999	95.6456	1075.094987	13.108267	39.0726	95.11734613206893	82.0	9.577279377532562	39.0	83.00505091990489	100	10.0	13.781153
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	15.1161	95.699	1048.353912	12.768818999999999	38.6759	95.55013946596974	83.0	8.714297045222324	38.0	83.31359556552468	100	10.0	13.363475
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	11.6655	95.6066	1053.4334999999999	12.895678	39.1354	95.90689124135368	82.0	7.044006546081917	39.0	83.19996375884378	100	10.0	13.446038999999999
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	11.8545	95.63770000000001	954.924309	11.978323999999999	39.126	94.97482735632373	80.0	6.971782232959839	39.0	80.62754557050908	92	10.0	12.612103999999999
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	13.6326	95.7663	717.9561279999999	8.901149	39.051	94.50148778163249	80.0	7.41964934392179	38.0	81.16089588373868	94	10.0	9.419057
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	10.286299999999999	95.7019	849.605998	10.430147	38.952799999999996	96.3916217176597	82.0	5.608709822384142	38.0	83.17794109288815	94	10.0	10.820594999999999
cell_line_1_0h_rep1								8.602561199971547	39.0	84.91150259067358	100	10.0	10.2869
cell_line_1_0h_rep2								10.34105274138038	39.0	87.03921391222607	100	10.0	10.2126
cell_line_1_0h_rep3								6.727111195373638	38.0	86.16095897660348	100	10.0	9.920534
cell_line_1_24h_rep1								9.235754685334058	39.0	86.01133967594649	100	10.0	13.108267
cell_line_1_24h_rep2								6.6359522779455915	39.0	85.70133954957622	100	10.0	12.895678
cell_line_1_24h_rep3								6.562301517376682	39.0	83.59734266663683	94	10.0	11.978323999999999
cell_line_1_72h_rep1								8.53445858591067	38.0	86.05254530587362	100	10.0	12.768818999999999
cell_line_1_72h_rep2								5.449155720236078	38.0	85.3660063947325	100	10.0	10.430147
cell_line_1_72h_rep3								7.341038383069986	39.0	84.46327732520824	94	10.0	8.901149
cell_line_2_0h_rep1								10.934184839734812	38.0	78.28547368056103	84	10.0	12.287173
cell_line_2_0h_rep2								8.20742634630163	39.0	86.2926562348833	100	10.0	10.977094
cell_line_2_0h_rep3								7.064948137531033	39.0	84.20297054674556	100	10.0	14.352946999999999
cell_line_2_24h_rep1								6.742396131497301	38.0	85.20436788850365	100	10.0	11.492395
cell_line_2_24h_rep2								7.691615977967558	39.0	85.6031484148371	100	10.0	11.692772999999999
cell_line_2_24h_rep3								9.454220543740277	40.0	83.46386951660128	94	10.0	12.067926
cell_line_2_72h_rep1								7.614918250249474	39.0	83.21853576443058	94	10.0	9.639213999999999
cell_line_2_72h_rep2								6.384867182654418	39.0	85.98936225766185	100	10.0	10.111027
cell_line_2_72h_rep3								8.651025088086882	39.0	85.38485286837847	100	10.0	17.318269
cell_line_3_0h_rep1								10.256583638082716	38.0	78.06106240227595	84	10.0	13.790106
cell_line_3_0h_rep2								7.598729806450507	38.0	83.30306334647103	94	10.0	14.349796999999999
cell_line_3_0h_rep3								7.9068628951338695	39.0	84.98142128923149	100	10.0	14.335548
cell_line_3_24h_rep1								5.97840174251202	39.0	84.5078323667511	94	10.0	10.931816999999999
cell_line_3_24h_rep2								7.641398365234124	39.0	86.73971276904636	100	10.0	9.670824
cell_line_3_24h_rep3								5.181834966170243	38.0	83.24238030506976	92	10.0	8.263487
cell_line_3_72h_rep1								6.120774884697866	39.0	85.04265679617632	100	10.0	12.335759999999999
cell_line_3_72h_rep2								5.774579883953166	39.0	84.85681870638318	100	10.0	9.479716
cell_line_3_72h_rep3								7.936487410160936	39.0	87.3817450952557	100	10.0	12.799393
