Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	(1.0, 85.79008924180506)	(2.0, 10.0058635242339)	(3.0, 2.0677573714277724)	(4.0, 0.7031299375166359)	(5.0, 0.3699043220547975)	(6.0, 0.2123174428907585)	(7.0, 0.14866945215820077)	(8.0, 0.11534538987828055)	(9.0, 0.06310119947242554)	('>10', 0.4153217247335858)	('>50', 0.03852735272289386)	('>100', 0.04498120864459582)	('>500', 0.005498203141428152)	('>1k', 0.0194936293196089)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	(1.0, 86.89484835354368)	(2.0, 8.905519166391192)	(3.0, 1.8717256560782567)	(4.0, 0.7172391343400178)	(5.0, 0.399554525752366)	(6.0, 0.2830066597218935)	(7.0, 0.16964059944254056)	(8.0, 0.11797425007324322)	(9.0, 0.07929496443809286)	('>10', 0.46953706149393987)	('>50', 0.03999876642591248)	('>100', 0.03826941096977645)	('>500', 0.0)	('>1k', 0.013391451329018374)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	(1.0, 87.86690598546026)	(2.0, 8.65289665002274)	(3.0, 1.550385948305615)	(4.0, 0.6492608893063607)	(5.0, 0.33788870209958893)	(6.0, 0.215769008539073)	(7.0, 0.1284352682899729)	(8.0, 0.09084923610592514)	(9.0, 0.04564069594412267)	('>10', 0.37684837521534464)	('>50', 0.03546020331828142)	('>100', 0.028471432725825297)	('>500', 0.0094464591204391)	('>1k', 0.011741145546456697)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	(1.0, 86.32423091262321)	(2.0, 9.630630225691139)	(3.0, 2.037858522781898)	(4.0, 0.6943242209142957)	(5.0, 0.3624084624725549)	(6.0, 0.2022531189221278)	(7.0, 0.11254074475600462)	(8.0, 0.08514255655019867)	(9.0, 0.05743020055354738)	('>10', 0.3872901142023176)	('>50', 0.031192326461979145)	('>100', 0.05004641110863458)	('>500', 0.0)	('>1k', 0.024652182962144265)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	(1.0, 86.11760237384047)	(2.0, 9.856455513196451)	(3.0, 1.9572374778399153)	(4.0, 0.7119356097036883)	(5.0, 0.3052771827954582)	(6.0, 0.23005936363892912)	(7.0, 0.12636983526371115)	(8.0, 0.10426467648649765)	(9.0, 0.07364585356372708)	('>10', 0.4224917125167103)	('>50', 0.024205290776505725)	('>100', 0.04847297089786202)	('>500', 0.0)	('>1k', 0.02198213948006857)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	(1.0, 88.55665446411334)	(2.0, 8.112607334485473)	(3.0, 1.5623267459969319)	(4.0, 0.5591231841509929)	(5.0, 0.28669023557796575)	(6.0, 0.18053674934228967)	(7.0, 0.13200943706301432)	(8.0, 0.09435700566044522)	(9.0, 0.06984591320531573)	('>10', 0.36464356845149526)	('>50', 0.03103030998870963)	('>100', 0.029280669245923898)	('>500', 0.009081687094257263)	('>1k', 0.011812695623795248)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	(1.0, 82.74662177618583)	(2.0, 11.456895634597656)	(3.0, 2.8414591694725257)	(4.0, 0.9756445683435975)	(5.0, 0.5165962237049244)	(6.0, 0.3034684428822121)	(7.0, 0.18993064450553526)	(8.0, 0.14028947928551921)	(9.0, 0.12748257953435033)	('>10', 0.5715354506574669)	('>50', 0.05647800417801924)	('>100', 0.04600739065893882)	('>500', 0.005985926909310712)	('>1k', 0.021604709084162902)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	(1.0, 84.59188716259007)	(2.0, 10.018780961412359)	(3.0, 2.368601835739071)	(4.0, 0.9134965779670757)	(5.0, 0.5513404541108501)	(6.0, 0.28826021736059104)	(7.0, 0.23320789379019397)	(8.0, 0.16245933285701206)	(9.0, 0.10969061664595861)	('>10', 0.6300487631009254)	('>50', 0.04892007956337096)	('>100', 0.05304707343741417)	('>500', 0.008419458924392555)	('>1k', 0.02183957250070659)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	(1.0, 84.50107426590895)	(2.0, 10.668258584735959)	(3.0, 2.3898510092178493)	(4.0, 0.8365686989173865)	(5.0, 0.37626570590547037)	(6.0, 0.24711627502429478)	(7.0, 0.14744559634911647)	(8.0, 0.11093955937654615)	(9.0, 0.09174610784292067)	('>10', 0.46040072189002834)	('>50', 0.03537340970675788)	('>100', 0.06944727792253906)	('>500', 0.015717718215940497)	('>1k', 0.04979506898624553)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	(1.0, 81.17467253519855)	(2.0, 12.659995118655813)	(3.0, 3.0529806079091815)	(4.0, 1.0830242232863103)	(5.0, 0.5201528464693532)	(6.0, 0.2984989593405157)	(7.0, 0.21252069401115364)	(8.0, 0.15252135562136207)	(9.0, 0.1126967881286278)	('>10', 0.560265051827254)	('>50', 0.04141957817265147)	('>100', 0.07466517364012616)	('>500', 0.0059353852751335735)	('>1k', 0.05065168246400257)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	(1.0, 87.71275612480764)	(2.0, 9.00230479230639)	(3.0, 1.7477190097185762)	(4.0, 0.5177972588180454)	(5.0, 0.2746327620198708)	(6.0, 0.14475218781211277)	(7.0, 0.1052949688195155)	(8.0, 0.07681323556199966)	(9.0, 0.051143774495391724)	('>10', 0.3081610084099368)	('>50', 0.023249309707293685)	('>100', 0.024238088061166996)	('>500', 0.0)	('>1k', 0.01113747946214106)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	(1.0, 83.49529491138958)	(2.0, 11.23353782876902)	(3.0, 2.5628605287508783)	(4.0, 0.9453491394241635)	(5.0, 0.4427701349538263)	(6.0, 0.2896800174953129)	(7.0, 0.16494213082280249)	(8.0, 0.11421716851889518)	(9.0, 0.09301452360703702)	('>10', 0.5205914314119792)	('>50', 0.04468878806188886)	('>100', 0.055611522369825764)	('>500', 0.005113711575187471)	('>1k', 0.03232816284967914)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	(1.0, 84.8119325379934)	(2.0, 10.65518440140291)	(3.0, 2.290673265868688)	(4.0, 0.7831616107738231)	(5.0, 0.36995307818513873)	(6.0, 0.24501260206687697)	(7.0, 0.14458568638416236)	(8.0, 0.0957889103033499)	(9.0, 0.08379931862289126)	('>10', 0.4360653327010711)	('>50', 0.040168538563662405)	('>100', 0.04367471713399793)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	(1.0, 87.77183958993196)	(2.0, 8.60605401029421)	(3.0, 1.6768002006109877)	(4.0, 0.6017733040090297)	(5.0, 0.3219744697718666)	(6.0, 0.22644290711682388)	(7.0, 0.14033540030236094)	(8.0, 0.11829946614717406)	(9.0, 0.08264385287121324)	('>10', 0.36704456412077985)	('>50', 0.0346963391784674)	('>100', 0.031029764617150343)	('>500', 0.0)	('>1k', 0.021066131027999195)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	(1.0, 87.81654948332846)	(2.0, 8.714768303224812)	(3.0, 1.6323895032650662)	(4.0, 0.6002514373656146)	(5.0, 0.3355514980777224)	(6.0, 0.2053075956704081)	(7.0, 0.11697000787142461)	(8.0, 0.08245506793176122)	(9.0, 0.07972100814183666)	('>10', 0.3324059705198809)	('>50', 0.03469041817931872)	('>100', 0.02906072655697589)	('>500', 0.00904661281665744)	('>1k', 0.010832367050005653)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	(1.0, 86.85136134802643)	(2.0, 9.634865683895432)	(3.0, 1.8917135650733423)	(4.0, 0.6018996275005974)	(5.0, 0.2588035588645655)	(6.0, 0.16775644096999895)	(7.0, 0.09629659837884735)	(8.0, 0.07813042408275747)	(9.0, 0.07965223273581368)	('>10', 0.2724389935937225)	('>50', 0.026861708992251224)	('>100', 0.030294677996582565)	('>500', 0.00992513988964806)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	(1.0, 90.05145810372241)	(2.0, 7.410075967817938)	(3.0, 1.2383501624544537)	(4.0, 0.4230227296665865)	(5.0, 0.2294219958839563)	(6.0, 0.16603076884534165)	(7.0, 0.08447040720392719)	(8.0, 0.07247731375171114)	(9.0, 0.0426675160980812)	('>10', 0.24460612940140122)	('>50', 0.02243566097843318)	('>100', 0.009595801924125852)	('>500', 0.0053874422516423616)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_0h_rep1	(1.0, 85.02744599413418)	(2.0, 10.490467560998239)	(3.0, 2.2849635217618864)	(4.0, 0.768083541127597)	(5.0, 0.3377825577939064)	(6.0, 0.21964169107855877)	(7.0, 0.1372902065706026)	(8.0, 0.0923974465541541)	(9.0, 0.07935252199626741)	('>10', 0.39773659881407974)	('>50', 0.03139741367055178)	('>100', 0.06588156050959548)	('>500', 0.016202752927901347)	('>1k', 0.051356632062460904)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_0h_rep2	(1.0, 82.02353433035661)	(2.0, 12.468390459082496)	(3.0, 2.865018103948426)	(4.0, 0.947818844241781)	(5.0, 0.43077967892267455)	(6.0, 0.2423337581509423)	(7.0, 0.17765784170544374)	(8.0, 0.13610563759614042)	(9.0, 0.09719222294779568)	('>10', 0.4524546904871119)	('>50', 0.03608418344098055)	('>100', 0.06443921975876678)	('>500', 0.006104862455268612)	('>1k', 0.05208616690558965)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_0h_rep3	(1.0, 88.05501918365486)	(2.0, 8.82243572727662)	(3.0, 1.6837768129608788)	(4.0, 0.49880150215912855)	(5.0, 0.25543402896970097)	(6.0, 0.13564391288212135)	(7.0, 0.09611520773806143)	(8.0, 0.06756168135252125)	(9.0, 0.04913127473760001)	('>10', 0.27944666740761426)	('>50', 0.022109109464569763)	('>100', 0.023007209141014166)	('>500', 0.0)	('>1k', 0.01151768225527677)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_24h_rep1	(1.0, 83.99116087034781)	(2.0, 11.07640446791577)	(3.0, 2.4520761434107388)	(4.0, 0.869007490277596)	(5.0, 0.4004228556042502)	(6.0, 0.2685143974853226)	(7.0, 0.1538470563786519)	(8.0, 0.10097340991705712)	(9.0, 0.08487401094823585)	('>10', 0.4648204282986332)	('>50', 0.04367575941445154)	('>100', 0.055188737978959686)	('>500', 0.005331210659406322)	('>1k', 0.033703161363165965)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_24h_rep2	(1.0, 88.38719522142353)	(2.0, 8.358063935561805)	(3.0, 1.548433112487384)	(4.0, 0.5342738854422796)	(5.0, 0.28050959130052117)	(6.0, 0.18476639447123955)	(7.0, 0.12406027012441577)	(8.0, 0.10194892644341128)	(9.0, 0.07653788544027418)	('>10', 0.3231837153509433)	('>50', 0.0282618725041453)	('>100', 0.030984289861108523)	('>500', 0.0)	('>1k', 0.021780899588931254)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_24h_rep3	(1.0, 88.44213241144938)	(2.0, 8.447113062313134)	(3.0, 1.488968621077071)	(4.0, 0.5459436182464493)	(5.0, 0.2981792055898754)	(6.0, 0.17688999383482423)	(7.0, 0.09862171572930767)	(8.0, 0.07328254661585622)	(9.0, 0.061183149068187725)	('>10', 0.29255276379477196)	('>50', 0.026979380958738138)	('>100', 0.027422364234411266)	('>500', 0.009434429892313276)	('>1k', 0.011296737195705777)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_72h_rep1	(1.0, 85.09434511248081)	(2.0, 10.520556745464836)	(3.0, 2.2310334633145317)	(4.0, 0.7542327780540012)	(5.0, 0.35395321988615036)	(6.0, 0.23297847403880323)	(7.0, 0.13961465771443693)	(8.0, 0.0886948797750002)	(9.0, 0.08081640433773327)	('>10', 0.4224481188064537)	('>50', 0.036489106355384195)	('>100', 0.044837039771852806)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_72h_rep2	(1.0, 90.30466622658936)	(2.0, 7.290904615058265)	(3.0, 1.1721563145655087)	(4.0, 0.3958423972778774)	(5.0, 0.21733895139629633)	(6.0, 0.162073192722938)	(7.0, 0.08249660914515371)	(8.0, 0.06841919050851587)	(9.0, 0.03751632214353501)	('>10', 0.23197130573651875)	('>50', 0.02126237732121222)	('>100', 0.009782003037469837)	('>500', 0.005570494497315716)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_1_72h_rep3	(1.0, 86.96015478157297)	(2.0, 9.623436525226072)	(3.0, 1.8443413219334828)	(4.0, 0.5821204155187665)	(5.0, 0.2529926966837898)	(6.0, 0.16699911322481156)	(7.0, 0.09233602349848678)	(8.0, 0.07308951882635314)	(9.0, 0.07355715051776433)	('>10', 0.2614791440642954)	('>50', 0.02742171904078367)	('>100', 0.03159466657559124)	('>500', 0.01047692331684625)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_0h_rep1	(1.0, 81.34408079425003)	(2.0, 12.305103786557165)	(3.0, 3.0393642465488333)	(4.0, 1.1670810035032433)	(5.0, 0.5514109297223645)	(6.0, 0.2944890664013515)	(7.0, 0.22507000437976266)	(8.0, 0.15287210670049023)	(9.0, 0.1058902445575364)	('>10', 0.6180885135907709)	('>50', 0.06459276105546753)	('>100', 0.0736773930030526)	('>500', 0.01930801217550504)	('>1k', 0.03897113755444817)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_0h_rep2	(1.0, 85.76051999250835)	(2.0, 9.926409910323015)	(3.0, 2.08279859504065)	(4.0, 0.7849006956810699)	(5.0, 0.3446138336518524)	(6.0, 0.22756577962022825)	(7.0, 0.16901744161220197)	(8.0, 0.08496321617196219)	(9.0, 0.07812742163583554)	('>10', 0.41321311618405754)	('>50', 0.03351016069241242)	('>100', 0.06940874568411855)	('>500', 0.008784683491391158)	('>1k', 0.016166407702830413)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_0h_rep3	(1.0, 87.75086197907147)	(2.0, 8.586866381574636)	(3.0, 1.6842012566030462)	(4.0, 0.618567543558389)	(5.0, 0.3379210619212672)	(6.0, 0.23127562703030416)	(7.0, 0.14422938961951542)	(8.0, 0.10269822961666228)	(9.0, 0.063926453546278)	('>10', 0.39825874805513617)	('>50', 0.03378065212690165)	('>100', 0.033529890700767395)	('>500', 0.0)	('>1k', 0.013882786575684933)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_24h_rep1	(1.0, 88.19341692453644)	(2.0, 8.534087204826204)	(3.0, 1.4904528140377855)	(4.0, 0.6019877682856776)	(5.0, 0.3106382078556514)	(6.0, 0.19447278352389513)	(7.0, 0.11314737886122506)	(8.0, 0.08372975125779691)	(9.0, 0.04362982077600654)	('>10', 0.35126259766019857)	('>50', 0.031731903203241)	('>100', 0.02944177794174287)	('>500', 0.00980914008454088)	('>1k', 0.01219192714961154)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_24h_rep2	(1.0, 86.50568158922283)	(2.0, 9.723129249411409)	(3.0, 1.8622484310834588)	(4.0, 0.6708155289383337)	(5.0, 0.28515032751163205)	(6.0, 0.20776813200088293)	(7.0, 0.11211733803939469)	(8.0, 0.09613664023359852)	(9.0, 0.06441006280859243)	('>10', 0.3828663041185193)	('>50', 0.020485203876057845)	('>100', 0.04633209758289308)	('>500', 0.0)	('>1k', 0.022859095172358578)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_24h_rep3	(1.0, 83.64626135360005)	(2.0, 11.183231456800733)	(3.0, 2.6223512868577643)	(4.0, 0.8842258415851654)	(5.0, 0.44075636993421274)	(6.0, 0.25267702538893066)	(7.0, 0.15935106157348178)	(8.0, 0.12191470451156955)	(9.0, 0.10382961968640705)	('>10', 0.46933327577540934)	('>50', 0.049118990000819804)	('>100', 0.03816867774345786)	('>500', 0.006244038412398992)	('>1k', 0.02253629812959955)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_72h_rep1	(1.0, 86.66497554661896)	(2.0, 9.492261341151472)	(3.0, 1.972646905825833)	(4.0, 0.6605322526819016)	(5.0, 0.33636029900680614)	(6.0, 0.18308450731306664)	(7.0, 0.10140865722570809)	(8.0, 0.07287171017103658)	(9.0, 0.04817539913734884)	('>10', 0.3629422228220635)	('>50', 0.027798221296726246)	('>100', 0.05065408060771641)	('>500', 0.0)	('>1k', 0.026288856141340657)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_72h_rep2	(1.0, 88.85086516763542)	(2.0, 7.9906124316245375)	(3.0, 1.479090470175798)	(4.0, 0.5249024671786784)	(5.0, 0.27770476805154304)	(6.0, 0.17761608856781066)	(7.0, 0.12388953313943389)	(8.0, 0.08928210041751104)	(9.0, 0.06681191266725332)	('>10', 0.3394460990480225)	('>50', 0.030052554884346303)	('>100', 0.028157179540329612)	('>500', 0.009375006371430575)	('>1k', 0.012194220697922826)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_2_72h_rep3	(1.0, 85.28791695213648)	(2.0, 9.767867743496502)	(3.0, 2.1832709452920946)	(4.0, 0.8301242853235941)	(5.0, 0.5010051873503724)	(6.0, 0.2528880920523012)	(7.0, 0.21605044869388076)	(8.0, 0.1513455220568966)	(9.0, 0.09440228495998312)	('>10', 0.5901282624872867)	('>50', 0.04165475975990547)	('>100', 0.052079888209569464)	('>500', 0.008688338111242632)	('>1k', 0.022577290069803628)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_0h_rep1	(1.0, 82.44016406406621)	(2.0, 11.717273995983154)	(3.0, 2.8083340056633896)	(4.0, 1.0090579176242633)	(5.0, 0.5088166974550657)	(6.0, 0.3193030892932673)	(7.0, 0.2305544628215118)	(8.0, 0.15232880715482328)	(9.0, 0.09614565530099786)	('>10', 0.583173305564299)	('>50', 0.03615116285429992)	('>100', 0.056932421129531605)	('>500', 0.014876341870402291)	('>1k', 0.026888073218669532)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_0h_rep2	(1.0, 86.86430896729853)	(2.0, 9.115422883175855)	(3.0, 1.8802110357152642)	(4.0, 0.6841890128502834)	(5.0, 0.33688433625234854)	(6.0, 0.23534643759104465)	(7.0, 0.15753131209517984)	(8.0, 0.1119491484570093)	(9.0, 0.08352664722246407)	('>10', 0.4321598153135019)	('>50', 0.034426628566761056)	('>100', 0.037336416439909315)	('>500', 0.004160045208721824)	('>1k', 0.022547313813175065)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_0h_rep3	(1.0, 86.42484438891688)	(2.0, 9.236106972105294)	(3.0, 1.992888893585027)	(4.0, 0.7397818760328256)	(5.0, 0.3937282721666082)	(6.0, 0.24249995433520982)	(7.0, 0.16778222157067965)	(8.0, 0.10785898762411888)	(9.0, 0.0897323003166258)	('>10', 0.4941704417899688)	('>50', 0.04134325171900484)	('>100', 0.04290830752053339)	('>500', 0.004235911360771494)	('>1k', 0.02211822095650095)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_24h_rep1	(1.0, 89.55698051725253)	(2.0, 7.542824034797841)	(3.0, 1.2942262224547247)	(4.0, 0.5090022683558343)	(5.0, 0.2649829552721096)	(6.0, 0.15058671023442943)	(7.0, 0.12664710620485617)	(8.0, 0.07244445963649415)	(9.0, 0.06137227981678114)	('>10', 0.3210326787570216)	('>50', 0.034923260262752845)	('>100', 0.033981909443087537)	('>500', 0.005496401945199493)	('>1k', 0.025499195566327366)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_24h_rep2	(1.0, 86.61266876496899)	(2.0, 9.596712907937766)	(3.0, 1.9128553580948375)	(4.0, 0.6279467039468688)	(5.0, 0.3087223082600788)	(6.0, 0.19643361254318872)	(7.0, 0.1076048260749857)	(8.0, 0.08951739673402026)	(9.0, 0.0586411137891803)	('>10', 0.3731936303165344)	('>50', 0.03046495715762042)	('>100', 0.05520088116624294)	('>500', 0.0)	('>1k', 0.030037539009634462)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_24h_rep3	(1.0, 90.80249441557247)	(2.0, 6.908555567246744)	(3.0, 1.0879527058086957)	(4.0, 0.3728838469540285)	(5.0, 0.1969146969529447)	(6.0, 0.15279759592739228)	(7.0, 0.08418044437187117)	(8.0, 0.04289186475915903)	(9.0, 0.05475865581674162)	('>10', 0.25140694883831777)	('>50', 0.013903793820887612)	('>100', 0.018761037368092905)	('>500', 0.012498426562656541)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
cell_line_3_72h_rep1	(1.0, 89.21417692593961)	(2.0, 7.913567134119705)	(3.0, 1.352679610650065)	(4.0, 0.5093183845134293)	(5.0, 0.2593805759322004)	(6.0, 0.1655332144318463)	(7.0, 0.10777778642305448)	(8.0, 0.07630244762651774)	(9.0, 0.04764620700722168)	('>10', 0.2937713267404477)	('>50', 0.028220879596297026)	('>100', 0.015355855824063274)	('>500', 0.016269651195564207)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
