Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	(20, 88398.0)	(22, 108544.0)	(24, 108626.0)	(26, 85793.0)	(28, 62841.0)	(30, 50696.0)	(32, 46009.0)	(34, 53887.0)	(36, 79585.0)	(38, 85745.0)	(40, 80973.0)	(42, 91475.0)	(44, 100755.0)	(46, 108369.0)	(48, 112855.0)	(50, 119706.0)	(52, 144215.0)	(54, 149162.0)	(56, 153994.0)	(58, 152598.0)	(60, 157132.0)	(62, 170430.0)	(64, 181996.0)	(66, 183004.0)	(68, 217881.0)	(70, 269894.0)	(72, 218571.0)	(74, 197643.0)	(76, 207678.0)	(78, 254993.0)	(80, 218161.0)	(82, 221745.0)	(84, 219799.0)	(86, 218561.0)	(88, 207995.0)	(90, 213269.0)	(92, 241539.0)	(94, 448416.0)	(96, 0.0)	(98, 0.0)	(100, 7221530.0)
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	(20, 151198.0)	(22, 181980.0)	(24, 171007.0)	(26, 135947.0)	(28, 101856.0)	(30, 81647.0)	(32, 74220.0)	(34, 89445.0)	(36, 118775.0)	(38, 146792.0)	(40, 132557.0)	(42, 152038.0)	(44, 166222.0)	(46, 171631.0)	(48, 173947.0)	(50, 186055.0)	(52, 215390.0)	(54, 220702.0)	(56, 225625.0)	(58, 234359.0)	(60, 233710.0)	(62, 243276.0)	(64, 251578.0)	(66, 241171.0)	(68, 259945.0)	(70, 277056.0)	(72, 277927.0)	(74, 246249.0)	(76, 251967.0)	(78, 306471.0)	(80, 256469.0)	(82, 255109.0)	(84, 243775.0)	(86, 242288.0)	(88, 235629.0)	(90, 234872.0)	(92, 247486.0)	(94, 467629.0)	(96, 0.0)	(98, 0.0)	(100, 7192499.0)
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	(20, 94305.0)	(22, 116467.0)	(24, 115837.0)	(26, 93219.0)	(28, 70474.0)	(30, 57402.0)	(32, 51992.0)	(34, 60381.0)	(36, 83057.0)	(38, 94786.0)	(40, 91113.0)	(42, 104649.0)	(44, 116779.0)	(46, 122340.0)	(48, 127395.0)	(50, 138636.0)	(52, 158568.0)	(54, 165054.0)	(56, 171418.0)	(58, 175142.0)	(60, 176317.0)	(62, 185305.0)	(64, 192998.0)	(66, 188874.0)	(68, 208932.0)	(70, 224005.0)	(72, 221315.0)	(74, 197413.0)	(76, 204134.0)	(78, 250394.0)	(80, 206006.0)	(82, 206993.0)	(84, 199395.0)	(86, 196948.0)	(88, 190339.0)	(90, 191000.0)	(92, 202797.0)	(94, 393013.0)	(96, 0.0)	(98, 0.0)	(100, 5938764.0)
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	(20, 148093.0)	(22, 174550.0)	(24, 164398.0)	(26, 125777.0)	(28, 93582.0)	(30, 70580.0)	(32, 62791.0)	(34, 71956.0)	(36, 96136.0)	(38, 106647.0)	(40, 99756.0)	(42, 109836.0)	(44, 117885.0)	(46, 119732.0)	(48, 121462.0)	(50, 127448.0)	(52, 150716.0)	(54, 149235.0)	(56, 153325.0)	(58, 158355.0)	(60, 158178.0)	(62, 166900.0)	(64, 174297.0)	(66, 168427.0)	(68, 184887.0)	(70, 197964.0)	(72, 194934.0)	(74, 172753.0)	(76, 177001.0)	(78, 212592.0)	(80, 179470.0)	(82, 178773.0)	(84, 172153.0)	(86, 168240.0)	(88, 163489.0)	(90, 161626.0)	(92, 168517.0)	(94, 317176.0)	(96, 0.0)	(98, 0.0)	(100, 4606760.0)
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	(20, 109080.0)	(22, 132148.0)	(24, 127230.0)	(26, 101757.0)	(28, 77483.0)	(30, 62029.0)	(32, 56408.0)	(34, 65848.0)	(36, 86469.0)	(38, 98228.0)	(40, 94228.0)	(42, 107232.0)	(44, 117525.0)	(46, 122390.0)	(48, 125460.0)	(50, 135523.0)	(52, 152568.0)	(54, 158563.0)	(56, 163503.0)	(58, 167614.0)	(60, 169331.0)	(62, 178065.0)	(64, 188105.0)	(66, 184764.0)	(68, 205398.0)	(70, 221606.0)	(72, 216040.0)	(74, 194759.0)	(76, 197158.0)	(78, 234194.0)	(80, 204604.0)	(82, 204062.0)	(84, 197999.0)	(86, 195422.0)	(88, 190801.0)	(90, 192344.0)	(92, 204256.0)	(94, 394149.0)	(96, 0.0)	(98, 0.0)	(100, 6207137.0)
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	(20, 71287.0)	(22, 87251.0)	(24, 86511.0)	(26, 68152.0)	(28, 52378.0)	(30, 43329.0)	(32, 39983.0)	(34, 47350.0)	(36, 68276.0)	(38, 75039.0)	(40, 73142.0)	(42, 85701.0)	(44, 95191.0)	(46, 99661.0)	(48, 102543.0)	(50, 114636.0)	(52, 129625.0)	(54, 134957.0)	(56, 141029.0)	(58, 145318.0)	(60, 145943.0)	(62, 156134.0)	(64, 163952.0)	(66, 159251.0)	(68, 177446.0)	(70, 192016.0)	(72, 190950.0)	(74, 170958.0)	(76, 177067.0)	(78, 214379.0)	(80, 182303.0)	(82, 184125.0)	(84, 178298.0)	(86, 174722.0)	(88, 169730.0)	(90, 171708.0)	(92, 179230.0)	(94, 350554.0)	(96, 0.0)	(98, 0.0)	(100, 5377457.0)
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	(20, 152855.0)	(22, 195441.0)	(24, 169726.0)	(26, 127264.0)	(28, 95593.0)	(30, 72776.0)	(32, 67427.0)	(34, 89277.0)	(36, 133846.0)	(38, 149940.0)	(40, 135932.0)	(42, 149946.0)	(44, 160067.0)	(46, 158078.0)	(48, 157894.0)	(50, 163266.0)	(52, 188627.0)	(54, 185619.0)	(56, 190279.0)	(58, 191530.0)	(60, 192294.0)	(62, 202551.0)	(64, 211350.0)	(66, 208172.0)	(68, 237285.0)	(70, 250156.0)	(72, 227873.0)	(74, 202149.0)	(76, 193101.0)	(78, 229229.0)	(80, 198467.0)	(82, 203622.0)	(84, 187142.0)	(86, 180799.0)	(88, 176742.0)	(90, 179977.0)	(92, 191669.0)	(94, 364741.0)	(96, 0.0)	(98, 0.0)	(100, 6037301.0)
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	(20, 153324.0)	(22, 188975.0)	(24, 183824.0)	(26, 143340.0)	(28, 109051.0)	(30, 88869.0)	(32, 81673.0)	(34, 93459.0)	(36, 133408.0)	(38, 147859.0)	(40, 140700.0)	(42, 160898.0)	(44, 176475.0)	(46, 182643.0)	(48, 186621.0)	(50, 206054.0)	(52, 235782.0)	(54, 239938.0)	(56, 248371.0)	(58, 254897.0)	(60, 255314.0)	(62, 271712.0)	(64, 284006.0)	(66, 274266.0)	(68, 304617.0)	(70, 329000.0)	(72, 324022.0)	(74, 290463.0)	(76, 299281.0)	(78, 370883.0)	(80, 307022.0)	(82, 309564.0)	(84, 299349.0)	(86, 292942.0)	(88, 282316.0)	(90, 283814.0)	(92, 297455.0)	(94, 588756.0)	(96, 0.0)	(98, 0.0)	(100, 9077816.0)
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	(20, 83696.0)	(22, 101671.0)	(24, 102978.0)	(26, 85495.0)	(28, 61546.0)	(30, 48257.0)	(32, 44702.0)	(34, 55154.0)	(36, 77931.0)	(38, 91882.0)	(40, 80885.0)	(42, 94249.0)	(44, 104142.0)	(46, 109379.0)	(48, 113190.0)	(50, 120668.0)	(52, 144283.0)	(54, 149677.0)	(56, 153062.0)	(58, 158124.0)	(60, 160958.0)	(62, 175707.0)	(64, 183341.0)	(66, 173328.0)	(68, 185532.0)	(70, 200372.0)	(72, 202387.0)	(74, 183162.0)	(76, 191138.0)	(78, 245544.0)	(80, 194899.0)	(82, 194947.0)	(84, 184150.0)	(86, 182422.0)	(88, 176803.0)	(90, 172607.0)	(92, 182041.0)	(94, 359217.0)	(96, 0.0)	(98, 0.0)	(100, 5193482.0)
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	(20, 99469.0)	(22, 117063.0)	(24, 113770.0)	(26, 92080.0)	(28, 63734.0)	(30, 49331.0)	(32, 43954.0)	(34, 53076.0)	(36, 78304.0)	(38, 85219.0)	(40, 72649.0)	(42, 80630.0)	(44, 89520.0)	(46, 92024.0)	(48, 93494.0)	(50, 98479.0)	(52, 119452.0)	(54, 122410.0)	(56, 124053.0)	(58, 127789.0)	(60, 130797.0)	(62, 141343.0)	(64, 147566.0)	(66, 141632.0)	(68, 153694.0)	(70, 165951.0)	(72, 171048.0)	(74, 153205.0)	(76, 161423.0)	(78, 215723.0)	(80, 168425.0)	(82, 167650.0)	(84, 159919.0)	(86, 159876.0)	(88, 155541.0)	(90, 153946.0)	(92, 166305.0)	(94, 362807.0)	(96, 0.0)	(98, 0.0)	(100, 5806237.0)
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	(20, 77458.0)	(22, 92710.0)	(24, 92486.0)	(26, 73124.0)	(28, 54920.0)	(30, 44338.0)	(32, 40599.0)	(34, 49546.0)	(36, 66709.0)	(38, 75418.0)	(40, 73352.0)	(42, 84810.0)	(44, 93122.0)	(46, 97302.0)	(48, 99395.0)	(50, 106734.0)	(52, 122552.0)	(54, 127754.0)	(56, 132433.0)	(58, 137705.0)	(60, 139189.0)	(62, 149827.0)	(64, 159944.0)	(66, 155932.0)	(68, 168545.0)	(70, 181028.0)	(72, 183856.0)	(74, 167583.0)	(76, 171411.0)	(78, 203719.0)	(80, 179602.0)	(82, 178507.0)	(84, 172436.0)	(86, 171277.0)	(88, 168200.0)	(90, 167283.0)	(92, 177104.0)	(94, 346775.0)	(96, 0.0)	(98, 0.0)	(100, 5327209.0)
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	(20, 137174.0)	(22, 163199.0)	(24, 157267.0)	(26, 123608.0)	(28, 90611.0)	(30, 69616.0)	(32, 63000.0)	(34, 73788.0)	(36, 100424.0)	(38, 112163.0)	(40, 102367.0)	(42, 114744.0)	(44, 124617.0)	(46, 131114.0)	(48, 133615.0)	(50, 137041.0)	(52, 164010.0)	(54, 170175.0)	(56, 173501.0)	(58, 175959.0)	(60, 178550.0)	(62, 192371.0)	(64, 202217.0)	(66, 199207.0)	(68, 223966.0)	(70, 251076.0)	(72, 238243.0)	(74, 212448.0)	(76, 216975.0)	(78, 261412.0)	(80, 227008.0)	(82, 226580.0)	(84, 219933.0)	(86, 219152.0)	(88, 216008.0)	(90, 214643.0)	(92, 238183.0)	(94, 463003.0)	(96, 0.0)	(98, 0.0)	(100, 7062185.0)
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	(20, 118427.0)	(22, 141598.0)	(24, 140185.0)	(26, 111162.0)	(28, 82403.0)	(30, 64372.0)	(32, 57234.0)	(34, 67068.0)	(36, 97398.0)	(38, 105501.0)	(40, 97921.0)	(42, 109134.0)	(44, 119356.0)	(46, 126111.0)	(48, 130394.0)	(50, 135953.0)	(52, 161284.0)	(54, 165872.0)	(56, 169611.0)	(58, 172018.0)	(60, 177946.0)	(62, 188663.0)	(64, 198683.0)	(66, 194843.0)	(68, 214491.0)	(70, 235879.0)	(72, 232030.0)	(74, 210634.0)	(76, 217882.0)	(78, 263537.0)	(80, 227914.0)	(82, 225187.0)	(84, 219289.0)	(86, 215885.0)	(88, 212411.0)	(90, 211626.0)	(92, 229207.0)	(94, 459430.0)	(96, 0.0)	(98, 0.0)	(100, 6854936.0)
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	(20, 109491.0)	(22, 131309.0)	(24, 128783.0)	(26, 102784.0)	(28, 76695.0)	(30, 62638.0)	(32, 58764.0)	(34, 70643.0)	(36, 93425.0)	(38, 105114.0)	(40, 100598.0)	(42, 118166.0)	(44, 128531.0)	(46, 134621.0)	(48, 141117.0)	(50, 149136.0)	(52, 164857.0)	(54, 177373.0)	(56, 181746.0)	(58, 183122.0)	(60, 182980.0)	(62, 198319.0)	(64, 210861.0)	(66, 204776.0)	(68, 231333.0)	(70, 256667.0)	(72, 239854.0)	(74, 213056.0)	(76, 213336.0)	(78, 252773.0)	(80, 222394.0)	(82, 222700.0)	(84, 212619.0)	(86, 211053.0)	(88, 205211.0)	(90, 207534.0)	(92, 229548.0)	(94, 435601.0)	(96, 0.0)	(98, 0.0)	(100, 6876511.0)
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	(20, 128572.0)	(22, 151820.0)	(24, 147025.0)	(26, 115324.0)	(28, 89752.0)	(30, 74937.0)	(32, 69400.0)	(34, 83327.0)	(36, 107768.0)	(38, 122172.0)	(40, 119305.0)	(42, 140567.0)	(44, 149907.0)	(46, 155842.0)	(48, 162596.0)	(50, 173651.0)	(52, 182241.0)	(54, 195137.0)	(56, 198844.0)	(58, 194407.0)	(60, 190793.0)	(62, 204405.0)	(64, 216092.0)	(66, 208311.0)	(68, 230586.0)	(70, 248985.0)	(72, 230805.0)	(74, 204473.0)	(76, 202116.0)	(78, 231736.0)	(80, 207833.0)	(82, 205462.0)	(84, 194915.0)	(86, 191601.0)	(88, 186226.0)	(90, 186246.0)	(92, 205185.0)	(94, 378442.0)	(96, 0.0)	(98, 0.0)	(100, 5925298.0)
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	(20, 103768.0)	(22, 125083.0)	(24, 121819.0)	(26, 95459.0)	(28, 71200.0)	(30, 53043.0)	(32, 46655.0)	(34, 53988.0)	(36, 80011.0)	(38, 85550.0)	(40, 79634.0)	(42, 85929.0)	(44, 94192.0)	(46, 98719.0)	(48, 101675.0)	(50, 105379.0)	(52, 123322.0)	(54, 126477.0)	(56, 130294.0)	(58, 132057.0)	(60, 134532.0)	(62, 143873.0)	(64, 152390.0)	(66, 150354.0)	(68, 164472.0)	(70, 182568.0)	(72, 176209.0)	(74, 159918.0)	(76, 166166.0)	(78, 195756.0)	(80, 173007.0)	(82, 169796.0)	(84, 165609.0)	(86, 163646.0)	(88, 161022.0)	(90, 159048.0)	(92, 171237.0)	(94, 318809.0)	(96, 0.0)	(98, 0.0)	(100, 4396391.0)
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	(20, 75299.0)	(22, 90530.0)	(24, 92684.0)	(26, 73388.0)	(28, 57544.0)	(30, 47969.0)	(32, 44047.0)	(34, 52687.0)	(36, 73927.0)	(38, 81553.0)	(40, 81843.0)	(42, 96129.0)	(44, 104657.0)	(46, 111574.0)	(48, 116597.0)	(50, 126262.0)	(52, 138858.0)	(54, 148055.0)	(56, 153068.0)	(58, 153654.0)	(60, 155710.0)	(62, 165057.0)	(64, 176011.0)	(66, 172834.0)	(68, 187659.0)	(70, 202829.0)	(72, 198291.0)	(74, 182298.0)	(76, 185022.0)	(78, 215437.0)	(80, 193298.0)	(82, 191920.0)	(84, 184366.0)	(86, 181184.0)	(88, 178986.0)	(90, 179816.0)	(92, 190053.0)	(94, 358838.0)	(96, 0.0)	(98, 0.0)	(100, 5400661.0)
cell_line_1_0h_rep1	(30, 48266.0)	(32, 44731.0)	(34, 55267.0)	(36, 77947.0)	(38, 91869.0)	(40, 80956.0)	(42, 94299.0)	(44, 104211.0)	(46, 109437.0)	(48, 113248.0)	(50, 120762.0)	(52, 144407.0)	(54, 149631.0)	(56, 153029.0)	(58, 158169.0)	(60, 160986.0)	(62, 175738.0)	(64, 183307.0)	(66, 173339.0)	(68, 185566.0)	(70, 200404.0)	(72, 202392.0)	(74, 183191.0)	(76, 191208.0)	(78, 245536.0)	(80, 194935.0)	(82, 195018.0)	(84, 184242.0)	(86, 182565.0)	(88, 177108.0)	(90, 173186.0)	(92, 182728.0)	(94, 361709.0)	(96, 6451.0)	(98, 2983.0)	(100, 5178079.0)					
cell_line_1_0h_rep2	(30, 49364.0)	(32, 44035.0)	(34, 53125.0)	(36, 78282.0)	(38, 85247.0)	(40, 72730.0)	(42, 80648.0)	(44, 89588.0)	(46, 92097.0)	(48, 93550.0)	(50, 98545.0)	(52, 119547.0)	(54, 122333.0)	(56, 124080.0)	(58, 127859.0)	(60, 130808.0)	(62, 141380.0)	(64, 147584.0)	(66, 141663.0)	(68, 153727.0)	(70, 165937.0)	(72, 171065.0)	(74, 153320.0)	(76, 161461.0)	(78, 215668.0)	(80, 168481.0)	(82, 167722.0)	(84, 160006.0)	(86, 160051.0)	(88, 155861.0)	(90, 154528.0)	(92, 167121.0)	(94, 365606.0)	(96, 7302.0)	(98, 3565.0)	(100, 5788714.0)					
cell_line_1_0h_rep3	(30, 44370.0)	(32, 40639.0)	(34, 49602.0)	(36, 66735.0)	(38, 75434.0)	(40, 73399.0)	(42, 84862.0)	(44, 93188.0)	(46, 97347.0)	(48, 99437.0)	(50, 106811.0)	(52, 122657.0)	(54, 127732.0)	(56, 132425.0)	(58, 137695.0)	(60, 139237.0)	(62, 149861.0)	(64, 159977.0)	(66, 155987.0)	(68, 168561.0)	(70, 181027.0)	(72, 183866.0)	(74, 167637.0)	(76, 171457.0)	(78, 203710.0)	(80, 179618.0)	(82, 178555.0)	(84, 172583.0)	(86, 171383.0)	(88, 168475.0)	(90, 167836.0)	(92, 177816.0)	(94, 349383.0)	(96, 6732.0)	(98, 3198.0)	(100, 5311302.0)					
cell_line_1_24h_rep1	(30, 69634.0)	(32, 63078.0)	(34, 73871.0)	(36, 100452.0)	(38, 112179.0)	(40, 102407.0)	(42, 114839.0)	(44, 124693.0)	(46, 131187.0)	(48, 133666.0)	(50, 137142.0)	(52, 164222.0)	(54, 170036.0)	(56, 173485.0)	(58, 175995.0)	(60, 178593.0)	(62, 192386.0)	(64, 202281.0)	(66, 199271.0)	(68, 224028.0)	(70, 251065.0)	(72, 238197.0)	(74, 212533.0)	(76, 217091.0)	(78, 261397.0)	(80, 227100.0)	(82, 226636.0)	(84, 220061.0)	(86, 219345.0)	(88, 216465.0)	(90, 215411.0)	(92, 239129.0)	(94, 466352.0)	(96, 8813.0)	(98, 4337.0)	(100, 7040890.0)					
