Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	(13.0, 6.0)	(14.0, 29.0)	(15.0, 65.0)	(16.0, 111.0)	(17.0, 154.0)	(18.0, 156.0)	(19.0, 189.0)	(20.0, 173.0)	(21.0, 190.0)	(22.0, 210.0)	(23.0, 265.0)	(24.0, 480.0)	(25.0, 1010.0)	(26.0, 2248.0)	(27.0, 4707.0)	(28.0, 8763.0)	(29.0, 15148.0)	(30.0, 24304.0)	(31.0, 36960.0)	(32.0, 57156.0)	(33.0, 102623.0)	(34.0, 287437.0)	(35.0, 1903287.0)	(36.0, 10105545.0)	(37.0, 703247.0)	
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	(13.0, 6.0)	(14.0, 26.0)	(15.0, 103.0)	(16.0, 163.0)	(17.0, 185.0)	(18.0, 211.0)	(19.0, 235.0)	(20.0, 231.0)	(21.0, 226.0)	(22.0, 199.0)	(23.0, 230.0)	(24.0, 416.0)	(25.0, 1025.0)	(26.0, 2507.0)	(27.0, 5424.0)	(28.0, 10250.0)	(29.0, 17268.0)	(30.0, 26687.0)	(31.0, 40946.0)	(32.0, 66224.0)	(33.0, 134231.0)	(34.0, 427579.0)	(35.0, 2670666.0)	(36.0, 11041690.0)	(37.0, 649771.0)	
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	(13.0, 4.0)	(14.0, 40.0)	(15.0, 75.0)	(16.0, 120.0)	(17.0, 157.0)	(18.0, 164.0)	(19.0, 151.0)	(20.0, 196.0)	(21.0, 193.0)	(22.0, 178.0)	(23.0, 255.0)	(24.0, 387.0)	(25.0, 896.0)	(26.0, 2096.0)	(27.0, 4624.0)	(28.0, 8741.0)	(29.0, 14447.0)	(30.0, 21825.0)	(31.0, 34304.0)	(32.0, 55976.0)	(33.0, 109297.0)	(34.0, 332344.0)	(35.0, 2029889.0)	(36.0, 8829909.0)	(37.0, 537688.0)	
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	(13.0, 4.0)	(14.0, 22.0)	(15.0, 58.0)	(16.0, 93.0)	(17.0, 98.0)	(18.0, 118.0)	(19.0, 144.0)	(20.0, 147.0)	(21.0, 157.0)	(22.0, 199.0)	(23.0, 287.0)	(24.0, 443.0)	(25.0, 911.0)	(26.0, 2061.0)	(27.0, 4011.0)	(28.0, 7486.0)	(29.0, 12366.0)	(30.0, 19357.0)	(31.0, 31025.0)	(32.0, 49480.0)	(33.0, 94370.0)	(34.0, 282335.0)	(35.0, 1644198.0)	(36.0, 7497562.0)	(37.0, 699465.0)	
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	(13.0, 5.0)	(14.0, 26.0)	(15.0, 84.0)	(16.0, 135.0)	(17.0, 191.0)	(18.0, 182.0)	(19.0, 202.0)	(20.0, 190.0)	(21.0, 197.0)	(22.0, 219.0)	(23.0, 309.0)	(24.0, 479.0)	(25.0, 912.0)	(26.0, 2032.0)	(27.0, 4264.0)	(28.0, 7938.0)	(29.0, 13961.0)	(30.0, 22015.0)	(31.0, 33961.0)	(32.0, 53963.0)	(33.0, 99090.0)	(34.0, 283358.0)	(35.0, 1804102.0)	(36.0, 9171339.0)	(37.0, 742326.0)	
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	(13.0, 2.0)	(14.0, 27.0)	(15.0, 65.0)	(16.0, 97.0)	(17.0, 104.0)	(18.0, 133.0)	(19.0, 113.0)	(20.0, 146.0)	(21.0, 114.0)	(22.0, 109.0)	(23.0, 160.0)	(24.0, 320.0)	(25.0, 730.0)	(26.0, 1847.0)	(27.0, 4058.0)	(28.0, 7580.0)	(29.0, 12554.0)	(30.0, 19479.0)	(31.0, 29982.0)	(32.0, 48881.0)	(33.0, 96245.0)	(34.0, 287890.0)	(35.0, 1764155.0)	(36.0, 7777707.0)	(37.0, 425084.0)	
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	(13.0, 6.0)	(14.0, 29.0)	(15.0, 91.0)	(16.0, 124.0)	(17.0, 185.0)	(18.0, 204.0)	(19.0, 239.0)	(20.0, 235.0)	(21.0, 251.0)	(22.0, 283.0)	(23.0, 416.0)	(24.0, 545.0)	(25.0, 1182.0)	(26.0, 2460.0)	(27.0, 4950.0)	(28.0, 8909.0)	(29.0, 15604.0)	(30.0, 24027.0)	(31.0, 37011.0)	(32.0, 57817.0)	(33.0, 108151.0)	(34.0, 335637.0)	(35.0, 2061583.0)	(36.0, 9334161.0)	(37.0, 815903.0)	
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	(12.0, 2.0)	(13.0, 5.0)	(14.0, 57.0)	(15.0, 114.0)	(16.0, 171.0)	(17.0, 230.0)	(18.0, 267.0)	(19.0, 264.0)	(20.0, 267.0)	(21.0, 281.0)	(22.0, 279.0)	(23.0, 321.0)	(24.0, 654.0)	(25.0, 1392.0)	(26.0, 3419.0)	(27.0, 7473.0)	(28.0, 13661.0)	(29.0, 21918.0)	(30.0, 33219.0)	(31.0, 49166.0)	(32.0, 75761.0)	(33.0, 146825.0)	(34.0, 464376.0)	(35.0, 2939023.0)	(36.0, 13491469.0)	(37.0, 848145.0)
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	(13.0, 1.0)	(14.0, 18.0)	(15.0, 49.0)	(16.0, 84.0)	(17.0, 116.0)	(18.0, 112.0)	(19.0, 141.0)	(20.0, 166.0)	(21.0, 156.0)	(22.0, 166.0)	(23.0, 242.0)	(24.0, 421.0)	(25.0, 849.0)	(26.0, 1918.0)	(27.0, 3797.0)	(28.0, 7240.0)	(29.0, 12383.0)	(30.0, 20192.0)	(31.0, 31827.0)	(32.0, 51764.0)	(33.0, 100474.0)	(34.0, 288220.0)	(35.0, 1721736.0)	(36.0, 7904269.0)	(37.0, 576667.0)	
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	(12.0, 1.0)	(13.0, 1.0)	(14.0, 28.0)	(15.0, 76.0)	(16.0, 135.0)	(17.0, 126.0)	(18.0, 155.0)	(19.0, 149.0)	(20.0, 188.0)	(21.0, 204.0)	(22.0, 192.0)	(23.0, 287.0)	(24.0, 527.0)	(25.0, 959.0)	(26.0, 2042.0)	(27.0, 4070.0)	(28.0, 7552.0)	(29.0, 12623.0)	(30.0, 20647.0)	(31.0, 32933.0)	(32.0, 54674.0)	(33.0, 105411.0)	(34.0, 298668.0)	(35.0, 1731104.0)	(36.0, 7866405.0)	(37.0, 560431.0)
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	(13.0, 5.0)	(14.0, 21.0)	(15.0, 53.0)	(16.0, 82.0)	(17.0, 96.0)	(18.0, 119.0)	(19.0, 119.0)	(20.0, 144.0)	(21.0, 125.0)	(22.0, 166.0)	(23.0, 235.0)	(24.0, 422.0)	(25.0, 902.0)	(26.0, 1871.0)	(27.0, 3716.0)	(28.0, 7381.0)	(29.0, 12601.0)	(30.0, 19677.0)	(31.0, 30955.0)	(32.0, 49975.0)	(33.0, 93261.0)	(34.0, 263272.0)	(35.0, 1620150.0)	(36.0, 7663222.0)	(37.0, 543324.0)	
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	(13.0, 1.0)	(14.0, 27.0)	(15.0, 80.0)	(16.0, 132.0)	(17.0, 157.0)	(18.0, 174.0)	(19.0, 207.0)	(20.0, 191.0)	(21.0, 245.0)	(22.0, 228.0)	(23.0, 358.0)	(24.0, 611.0)	(25.0, 1179.0)	(26.0, 2400.0)	(27.0, 5188.0)	(28.0, 9302.0)	(29.0, 15982.0)	(30.0, 25964.0)	(31.0, 40872.0)	(32.0, 67666.0)	(33.0, 131767.0)	(34.0, 383868.0)	(35.0, 2207546.0)	(36.0, 10129081.0)	(37.0, 757927.0)	
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	(13.0, 1.0)	(14.0, 28.0)	(15.0, 70.0)	(16.0, 88.0)	(17.0, 127.0)	(18.0, 160.0)	(19.0, 152.0)	(20.0, 197.0)	(21.0, 189.0)	(22.0, 230.0)	(23.0, 308.0)	(24.0, 497.0)	(25.0, 995.0)	(26.0, 2180.0)	(27.0, 4451.0)	(28.0, 8403.0)	(29.0, 14647.0)	(30.0, 23641.0)	(31.0, 38290.0)	(32.0, 62308.0)	(33.0, 119257.0)	(34.0, 346258.0)	(35.0, 2096731.0)	(36.0, 9920347.0)	(37.0, 723920.0)	
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	(13.0, 3.0)	(14.0, 28.0)	(15.0, 74.0)	(16.0, 110.0)	(17.0, 130.0)	(18.0, 204.0)	(19.0, 177.0)	(20.0, 152.0)	(21.0, 176.0)	(22.0, 172.0)	(23.0, 226.0)	(24.0, 410.0)	(25.0, 994.0)	(26.0, 2291.0)	(27.0, 5116.0)	(28.0, 9495.0)	(29.0, 15792.0)	(30.0, 24333.0)	(31.0, 37411.0)	(32.0, 59932.0)	(33.0, 117436.0)	(34.0, 369464.0)	(35.0, 2321340.0)	(36.0, 9932420.0)	(37.0, 548153.0)	
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	(13.0, 5.0)	(14.0, 33.0)	(15.0, 88.0)	(16.0, 119.0)	(17.0, 165.0)	(18.0, 167.0)	(19.0, 182.0)	(20.0, 176.0)	(21.0, 187.0)	(22.0, 209.0)	(23.0, 230.0)	(24.0, 373.0)	(25.0, 894.0)	(26.0, 2087.0)	(27.0, 4570.0)	(28.0, 8579.0)	(29.0, 14433.0)	(30.0, 22292.0)	(31.0, 34008.0)	(32.0, 52675.0)	(33.0, 106484.0)	(34.0, 354754.0)	(35.0, 2253651.0)	(36.0, 9199580.0)	(37.0, 556163.0)	
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	(12.0, 1.0)	(13.0, 2.0)	(14.0, 13.0)	(15.0, 32.0)	(16.0, 69.0)	(17.0, 73.0)	(18.0, 102.0)	(19.0, 102.0)	(20.0, 124.0)	(21.0, 107.0)	(22.0, 127.0)	(23.0, 224.0)	(24.0, 368.0)	(25.0, 816.0)	(26.0, 1772.0)	(27.0, 3633.0)	(28.0, 6663.0)	(29.0, 11437.0)	(30.0, 17569.0)	(31.0, 26699.0)	(32.0, 40147.0)	(33.0, 72511.0)	(34.0, 227018.0)	(35.0, 1463564.0)	(36.0, 6957281.0)	(37.0, 588603.0)
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	(12.0, 1.0)	(13.0, 6.0)	(14.0, 28.0)	(15.0, 51.0)	(16.0, 83.0)	(17.0, 104.0)	(18.0, 118.0)	(19.0, 145.0)	(20.0, 117.0)	(21.0, 121.0)	(22.0, 150.0)	(23.0, 171.0)	(24.0, 329.0)	(25.0, 749.0)	(26.0, 1926.0)	(27.0, 4098.0)	(28.0, 7822.0)	(29.0, 13204.0)	(30.0, 19732.0)	(31.0, 30309.0)	(32.0, 47345.0)	(33.0, 90439.0)	(34.0, 271448.0)	(35.0, 1773384.0)	(36.0, 8098096.0)	(37.0, 460619.0)
cell_line_1_0h_rep1	(21.0, 10.0)	(22.0, 34.0)	(23.0, 108.0)	(24.0, 254.0)	(25.0, 641.0)	(26.0, 1497.0)	(27.0, 3261.0)	(28.0, 6341.0)	(29.0, 11354.0)	(30.0, 18885.0)	(31.0, 30113.0)	(32.0, 49162.0)	(33.0, 90969.0)	(34.0, 231251.0)	(35.0, 1537255.0)	(36.0, 7795561.0)	(37.0, 510204.0)									
cell_line_1_0h_rep2	(21.0, 11.0)	(22.0, 46.0)	(23.0, 118.0)	(24.0, 301.0)	(25.0, 704.0)	(26.0, 1625.0)	(27.0, 3411.0)	(28.0, 6684.0)	(29.0, 11583.0)	(30.0, 19101.0)	(31.0, 31009.0)	(32.0, 51303.0)	(33.0, 93385.0)	(34.0, 234412.0)	(35.0, 1528029.0)	(36.0, 7747625.0)	(37.0, 483253.0)									
cell_line_1_0h_rep3	(21.0, 5.0)	(22.0, 21.0)	(23.0, 104.0)	(24.0, 260.0)	(25.0, 683.0)	(26.0, 1495.0)	(27.0, 3145.0)	(28.0, 6550.0)	(29.0, 11683.0)	(30.0, 18446.0)	(31.0, 29392.0)	(32.0, 47655.0)	(33.0, 85588.0)	(34.0, 212405.0)	(35.0, 1454062.0)	(36.0, 7565756.0)	(37.0, 483284.0)									
cell_line_1_24h_rep1	(21.0, 5.0)	(22.0, 53.0)	(23.0, 148.0)	(24.0, 362.0)	(25.0, 849.0)	(26.0, 1881.0)	(27.0, 4346.0)	(28.0, 8171.0)	(29.0, 14490.0)	(30.0, 24005.0)	(31.0, 38415.0)	(32.0, 63555.0)	(33.0, 117902.0)	(34.0, 296215.0)	(35.0, 1923018.0)	(36.0, 9962393.0)	(37.0, 652459.0)									
cell_line_1_24h_rep2	(21.0, 4.0)	(22.0, 30.0)	(23.0, 67.0)	(24.0, 227.0)	(25.0, 761.0)	(26.0, 1774.0)	(27.0, 4313.0)	(28.0, 8388.0)	(29.0, 14257.0)	(30.0, 22739.0)	(31.0, 35159.0)	(32.0, 56183.0)	(33.0, 102736.0)	(34.0, 284098.0)	(35.0, 2075670.0)	(36.0, 9804129.0)	(37.0, 485143.0)									
cell_line_1_24h_rep3	(20.0, 1.0)	(21.0, 6.0)	(22.0, 35.0)	(23.0, 71.0)	(24.0, 196.0)	(25.0, 627.0)	(26.0, 1653.0)	(27.0, 3759.0)	(28.0, 7504.0)	(29.0, 13068.0)	(30.0, 20484.0)	(31.0, 31577.0)	(32.0, 48457.0)	(33.0, 90793.0)	(34.0, 258435.0)	(35.0, 1968406.0)	(36.0, 9050736.0)	(37.0, 482516.0)								
cell_line_1_72h_rep1	(21.0, 7.0)	(22.0, 33.0)	(23.0, 104.0)	(24.0, 307.0)	(25.0, 720.0)	(26.0, 1704.0)	(27.0, 3730.0)	(28.0, 7378.0)	(29.0, 13329.0)	(30.0, 21953.0)	(31.0, 35998.0)	(32.0, 58892.0)	(33.0, 107715.0)	(34.0, 269649.0)	(35.0, 1844114.0)	(36.0, 9772004.0)	(37.0, 631182.0)									
cell_line_1_72h_rep2	(21.0, 5.0)	(22.0, 19.0)	(23.0, 61.0)	(24.0, 164.0)	(25.0, 570.0)	(26.0, 1523.0)	(27.0, 3513.0)	(28.0, 6824.0)	(29.0, 12131.0)	(30.0, 18438.0)	(31.0, 28596.0)	(32.0, 44803.0)	(33.0, 80819.0)	(34.0, 213163.0)	(35.0, 1600662.0)	(36.0, 8004547.0)	(37.0, 414309.0)									
cell_line_1_72h_rep3	(21.0, 4.0)	(22.0, 24.0)	(23.0, 62.0)	(24.0, 229.0)	(25.0, 545.0)	(26.0, 1380.0)	(27.0, 2965.0)	(28.0, 5807.0)	(29.0, 10286.0)	(30.0, 16125.0)	(31.0, 24832.0)	(32.0, 37299.0)	(33.0, 63601.0)	(34.0, 164020.0)	(35.0, 1245790.0)	(36.0, 6824850.0)	(37.0, 503330.0)									
cell_line_2_0h_rep1	(21.0, 6.0)	(22.0, 53.0)	(23.0, 118.0)	(24.0, 343.0)	(25.0, 801.0)	(26.0, 1909.0)	(27.0, 4234.0)	(28.0, 7947.0)	(29.0, 14160.0)	(30.0, 23129.0)	(31.0, 37479.0)	(32.0, 64904.0)	(33.0, 125365.0)	(34.0, 317381.0)	(35.0, 1991035.0)	(36.0, 8913437.0)	(37.0, 784872.0)									
cell_line_2_0h_rep2	(21.0, 9.0)	(22.0, 42.0)	(23.0, 110.0)	(24.0, 261.0)	(25.0, 745.0)	(26.0, 1624.0)	(27.0, 3593.0)	(28.0, 6896.0)	(29.0, 12216.0)	(30.0, 19872.0)	(31.0, 32235.0)	(32.0, 52678.0)	(33.0, 94451.0)	(34.0, 228089.0)	(35.0, 1581203.0)	(36.0, 8409715.0)	(37.0, 533355.0)									
cell_line_2_0h_rep3	(21.0, 7.0)	(22.0, 26.0)	(23.0, 87.0)	(24.0, 200.0)	(25.0, 729.0)	(26.0, 1923.0)	(27.0, 4583.0)	(28.0, 8903.0)	(29.0, 15585.0)	(30.0, 24637.0)	(31.0, 37939.0)	(32.0, 61151.0)	(33.0, 114485.0)	(34.0, 312284.0)	(35.0, 2337202.0)	(36.0, 10869546.0)	(37.0, 563660.0)									
cell_line_2_24h_rep1	(21.0, 4.0)	(22.0, 27.0)	(23.0, 74.0)	(24.0, 195.0)	(25.0, 672.0)	(26.0, 1632.0)	(27.0, 3910.0)	(28.0, 7768.0)	(29.0, 13218.0)	(30.0, 20385.0)	(31.0, 32345.0)	(32.0, 52592.0)	(33.0, 96881.0)	(34.0, 260785.0)	(35.0, 1814355.0)	(36.0, 8711497.0)	(37.0, 476055.0)									
cell_line_2_24h_rep2	(21.0, 11.0)	(22.0, 36.0)	(23.0, 112.0)	(24.0, 300.0)	(25.0, 674.0)	(26.0, 1581.0)	(27.0, 3568.0)	(28.0, 7019.0)	(29.0, 12589.0)	(30.0, 20608.0)	(31.0, 31928.0)	(32.0, 51021.0)	(33.0, 88911.0)	(34.0, 215533.0)	(35.0, 1574826.0)	(36.0, 9031864.0)	(37.0, 652192.0)									
cell_line_2_24h_rep3	(21.0, 15.0)	(22.0, 57.0)	(23.0, 147.0)	(24.0, 334.0)	(25.0, 813.0)	(26.0, 1862.0)	(27.0, 4052.0)	(28.0, 7748.0)	(29.0, 13940.0)	(30.0, 21936.0)	(31.0, 34013.0)	(32.0, 52826.0)	(33.0, 91737.0)	(34.0, 239147.0)	(35.0, 1750133.0)	(36.0, 9152789.0)	(37.0, 696377.0)									
cell_line_2_72h_rep1	(21.0, 6.0)	(22.0, 34.0)	(23.0, 101.0)	(24.0, 247.0)	(25.0, 618.0)	(26.0, 1536.0)	(27.0, 3258.0)	(28.0, 6303.0)	(29.0, 10938.0)	(30.0, 17424.0)	(31.0, 28356.0)	(32.0, 45636.0)	(33.0, 81396.0)	(34.0, 194535.0)	(35.0, 1348345.0)	(36.0, 7320225.0)	(37.0, 580256.0)									
cell_line_2_72h_rep2	(22.0, 20.0)	(23.0, 41.0)	(24.0, 161.0)	(25.0, 538.0)	(26.0, 1535.0)	(27.0, 3486.0)	(28.0, 6848.0)	(29.0, 11454.0)	(30.0, 18274.0)	(31.0, 28345.0)	(32.0, 46117.0)	(33.0, 86286.0)	(34.0, 232180.0)	(35.0, 1601270.0)	(36.0, 7691892.0)	(37.0, 382580.0)										
cell_line_2_72h_rep3	(20.0, 1.0)	(21.0, 4.0)	(22.0, 36.0)	(23.0, 116.0)	(24.0, 307.0)	(25.0, 1024.0)	(26.0, 2681.0)	(27.0, 6330.0)	(28.0, 12141.0)	(29.0, 20175.0)	(30.0, 30904.0)	(31.0, 46148.0)	(32.0, 70303.0)	(33.0, 127797.0)	(34.0, 351856.0)	(35.0, 2595923.0)	(36.0, 13304274.0)	(37.0, 748249.0)								
cell_line_3_0h_rep1	(21.0, 13.0)	(22.0, 53.0)	(23.0, 159.0)	(24.0, 361.0)	(25.0, 917.0)	(26.0, 2007.0)	(27.0, 4279.0)	(28.0, 8097.0)	(29.0, 15230.0)	(30.0, 25019.0)	(31.0, 41410.0)	(32.0, 71363.0)	(33.0, 135132.0)	(34.0, 347620.0)	(35.0, 2316376.0)	(36.0, 10012047.0)	(37.0, 810023.0)									
cell_line_3_0h_rep2	(21.0, 5.0)	(22.0, 40.0)	(23.0, 72.0)	(24.0, 247.0)	(25.0, 749.0)	(26.0, 2083.0)	(27.0, 4837.0)	(28.0, 9263.0)	(29.0, 16030.0)	(30.0, 25393.0)	(31.0, 40424.0)	(32.0, 66619.0)	(33.0, 121747.0)	(34.0, 316135.0)	(35.0, 2296937.0)	(36.0, 10842160.0)	(37.0, 607056.0)									
cell_line_3_0h_rep3	(21.0, 3.0)	(22.0, 27.0)	(23.0, 84.0)	(24.0, 221.0)	(25.0, 745.0)	(26.0, 2023.0)	(27.0, 4657.0)	(28.0, 9458.0)	(29.0, 16063.0)	(30.0, 25146.0)	(31.0, 39683.0)	(32.0, 64660.0)	(33.0, 124265.0)	(34.0, 343231.0)	(35.0, 2354825.0)	(36.0, 10793972.0)	(37.0, 556485.0)									
cell_line_3_24h_rep1	(21.0, 7.0)	(22.0, 23.0)	(23.0, 78.0)	(24.0, 173.0)	(25.0, 607.0)	(26.0, 1605.0)	(27.0, 3823.0)	(28.0, 7287.0)	(29.0, 12723.0)	(30.0, 20014.0)	(31.0, 31485.0)	(32.0, 51878.0)	(33.0, 96014.0)	(34.0, 251323.0)	(35.0, 1723352.0)	(36.0, 8280541.0)	(37.0, 450884.0)									
