Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13254463.0	1.1 Gbp	0.0	20-100	39.0	91.83871388873774	85.22731335852686	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15096499.0	1.2 Gbp	0.0	20-100	39.0	92.35871858410955	81.2613875243525	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11983956.0	988.4 Mbp	0.0	20-100	38.0	93.03663258103529	82.72188215644316	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10346397.0	817 Mbp	0.0	20-100	38.0	92.15779706414807	79.19006051091989	90	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12241480.0	1 Gbp	0.0	20-100	39.0	92.04356456773647	82.86591997046109	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10477582.0	875.8 Mbp	0.0	20-100	39.0	93.42434599974204	83.84490095138364	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12810003.0	1 Gbp	0.0	20-100	40.0	89.91885476138397	80.03699885940698	92	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18098759.0	1.4 Gbp	0.0	20-100	38.0	90.88537518446739	82.76333197762344	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10723008.0	881.6 Mbp	0.0	20-100	39.0	91.033455328717	82.45859370803416	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10699588.0	897.9 Mbp	0.0	20-100	39.0	89.04525911831885	84.19208010626204	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10311894.0	861.7 Mbp	0.0	20-100	38.0	93.05662182364412	83.82383052036803	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13781153.0	1.1 Gbp	0.0	20-100	39.0	90.42272062246744	83.00505091990489	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13363475.0	1.1 Gbp	0.0	20-100	38.0	91.28570295477768	83.31359556552468	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13446039.0	1.1 Gbp	0.0	20-100	39.0	92.95599345391808	83.19996375884378	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12612104.0	1 Gbp	0.0	20-100	39.0	93.02821776704016	80.62754557050908	92	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9419057.0	762.3 Mbp	0.0	20-100	38.0	92.58035065607821	81.16089588373868	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10820595.0	897.4 Mbp	0.0	20-100	38.0	94.39129017761586	83.17794109288815	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_0h_rep1	cell_line_1_0h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10286900.0	870.9 Mbp	0.0	30-100	39.0	91.39743880002845	84.91150259067358	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_0h_rep2	cell_line_1_0h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10212600.0	886 Mbp	0.0	30-100	39.0	89.65894725861962	87.03921391222607	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_0h_rep3	cell_line_1_0h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9920534.0	852.1 Mbp	0.0	30-100	38.0	93.27288880462636	86.16095897660348	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_24h_rep1	cell_line_1_24h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13108267.0	1.1 Gbp	0.0	30-100	39.0	90.76424531466594	86.01133967594649	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_24h_rep2	cell_line_1_24h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12895678.0	1.1 Gbp	0.0	30-100	39.0	93.36404772205441	85.70133954957622	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_24h_rep3	cell_line_1_24h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11978324.0	998.4 Mbp	0.0	30-100	39.0	93.43769848262332	83.59734266663683	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_72h_rep1	cell_line_1_72h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12768819.0	1 Gbp	0.0	30-100	38.0	91.46554141408933	86.05254530587362	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_72h_rep2	cell_line_1_72h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10430147.0	887.7 Mbp	0.0	30-100	38.0	94.55084427976392	85.3660063947325	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_1_72h_rep3	cell_line_1_72h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8901149.0	749.6 Mbp	0.0	30-100	39.0	92.65896161693001	84.46327732520824	94	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
cell_line_2_0h_rep1	cell_line_2_0h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12287173.0	959.5 Mbp	0.0	30-100	38.0	89.06581516026519	78.28547368056103	84	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_0h_rep2	cell_line_2_0h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10977094.0	944.3 Mbp	0.0	30-100	39.0	91.79257365369837	86.2926562348833	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_0h_rep3	cell_line_2_0h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14352947.0	1.2 Gbp	0.0	30-100	39.0	92.93505186246897	84.20297054674556	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_24h_rep1	cell_line_2_24h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11492395.0	976.3 Mbp	0.0	30-100	38.0	93.2576038685027	85.20436788850365	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_24h_rep2	cell_line_2_24h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11692773.0	997.9 Mbp	0.0	30-100	39.0	92.30838402203244	85.6031484148371	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_24h_rep3	cell_line_2_24h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12067926.0	1 Gbp	0.0	30-100	40.0	90.54577945625972	83.46386951660128	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_72h_rep1	cell_line_2_72h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9639214.0	799.9 Mbp	0.0	30-100	39.0	92.38508174975053	83.21853576443058	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_72h_rep2	cell_line_2_72h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10111027.0	866.8 Mbp	0.0	30-100	39.0	93.61513281734558	85.98936225766185	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_2_72h_rep3	cell_line_2_72h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17318269.0	1.4 Gbp	0.0	30-100	39.0	91.34897491191312	85.38485286837847	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_0h_rep1	cell_line_3_0h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13790106.0	1 Gbp	0.0	30-100	38.0	89.74341636191728	78.06106240227595	84	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_0h_rep2	cell_line_3_0h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14349797.0	1.1 Gbp	0.0	30-100	38.0	92.4012701935495	83.30306334647103	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_0h_rep3	cell_line_3_0h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14335548.0	1.2 Gbp	0.0	30-100	39.0	92.09313710486613	84.98142128923149	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_24h_rep1	cell_line_3_24h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10931817.0	921.2 Mbp	0.0	30-100	39.0	94.02159825748798	84.5078323667511	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_24h_rep2	cell_line_3_24h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9670824.0	836.2 Mbp	0.0	30-100	39.0	92.35860163476588	86.73971276904636	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_24h_rep3	cell_line_3_24h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8263487.0	686 Mbp	0.0	30-100	38.0	94.81816503382976	83.24238030506976	92	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
cell_line_3_72h_rep1	cell_line_3_72h_rep1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12335760.0	1 Gbp	0.0	30-100	39.0	93.87922511530213	85.04265679617632	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
cell_line_3_72h_rep2	cell_line_3_72h_rep2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9479716.0	802 Mbp	0.0	30-100	39.0	94.22542011604683	84.85681870638318	100	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
cell_line_3_72h_rep3	cell_line_3_72h_rep3.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12799393.0	1.1 Gbp	0.0	30-100	39.0	92.06351258983906	87.3817450952557	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
