.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
cell_line_2_24h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_24h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_24h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_72h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_72h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_72h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_0h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_0h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_0h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_24h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_24h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_24h_rep3	1	1	1	0.25	0.5	1	0.5	1	1	1
cell_line_3_72h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_3_72h_rep2	1	1	1	0.25	0.5	1	0.5	1	1	1
cell_line_3_72h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
