Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.006382755755551923)	(2, 0.011399933743072051)	(3, 0.016673629101382682)	(4, 0.020355407835081663)	(5, 0.024369150225097766)	(6, 0.028503606671956457)	(7, 0.03372448963039845)	(8, 0.03566345916843255)	(9, 0.03574645008251183)	(10, 0.03888501556041916)	(12, 0.04280822240780332)	(14, 0.05016423524664862)	(16, 0.05880660725372276)	(18, 0.0656533576652634)	(20, 0.07102890550903496)	(22, 0.07582351695425156)	(24, 0.07966750520183277)	(26, 0.08324743145007082)	(28, 0.08740074946831117)	(30, 0.09222931174201475)	(32, 0.09804999267039335)	(34, 0.1026786222874514)	(36, 0.12184575112548882)	(38, 0.1434347057289307)	(40, 0.14937610071415192)	(42, 0.1536237265893005)	(44, 0.15815427603517396)	(46, 0.16352227925039287)	(48, 0.16906003660804667)	(50, 0.17269654757042968)	(52, 0.17646508953248424)	(54, 0.1812634732919772)	(56, 0.18591096448041688)	(58, 0.19082251766819974)	(60, 0.19576424937019327)	(62, 0.20080406124337138)	(64, 0.20548550326029807)	(66, 0.21003114196327682)	(68, 0.2143014017240834)	(70, 0.22020507356654134)	(72, 0.22687829752137073)	(74, 0.23218594370816834)	(76, 0.23792363372246766)	(78, 0.24546448996085318)	(80, 0.25352592556937237)	(82, 0.2597502441253184)	(84, 0.266140544509423)	(86, 0.272364863065369)	(88, 0.2772801885674282)
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.0033318983427879536)	(2, 0.006034511710297864)	(3, 0.00875037318255047)	(4, 0.010803829417668295)	(5, 0.013022886962069815)	(6, 0.015473786339468509)	(7, 0.018520850430288505)	(8, 0.021958733611018025)	(9, 0.022051470344216895)	(10, 0.03124565503564767)	(12, 0.03674361850386636)	(14, 0.0481767328968127)	(16, 0.06269334366862145)	(18, 0.0723214037903755)	(20, 0.07873348648584019)	(22, 0.08418176956127377)	(24, 0.08856026817873469)	(26, 0.09285596614155375)	(28, 0.0973801939111843)	(30, 0.1020269666496848)	(32, 0.10692876540448219)	(34, 0.11155897801205432)	(36, 0.12744676762473206)	(38, 0.14518266784901585)	(40, 0.15169742335623643)	(42, 0.1569072405463015)	(44, 0.16264035787370304)	(46, 0.16942007547577753)	(48, 0.17660386027250424)	(50, 0.1812440089586334)	(52, 0.18601332666600381)	(54, 0.19172325981010563)	(56, 0.196615122486346)	(58, 0.20246084870406045)	(60, 0.2080946052458918)	(62, 0.21350314400709727)	(64, 0.21920976512501342)	(66, 0.22443283041982118)	(68, 0.22944723806493147)	(70, 0.23493526545459315)	(72, 0.2409333448768486)	(74, 0.24666646220425015)	(76, 0.25248238018629354)	(78, 0.2598847587112747)	(80, 0.26779056521647837)	(82, 0.27376877248161974)	(84, 0.27976353987768954)	(86, 0.28534099197436436)	(88, 0.2899413963462654)
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.004063766589263178)	(2, 0.00742659602555283)	(3, 0.01048902382485383)	(4, 0.013184294067835363)	(5, 0.015837841861235137)	(6, 0.018499734144551264)	(7, 0.022179654197662275)	(8, 0.024023786469175953)	(9, 0.024082197898590417)	(10, 0.027803840401283184)	(12, 0.03104567473378574)	(14, 0.03757941033828896)	(16, 0.04573614923152254)	(18, 0.051911071769622646)	(20, 0.05669246449169206)	(22, 0.060889742919616865)	(24, 0.06438191194960996)	(26, 0.06828296098550429)	(28, 0.07250527288317815)	(30, 0.07740766070903465)	(32, 0.08227667057522575)	(34, 0.08632374818465621)	(36, 0.10451890844726065)	(38, 0.12432455526372092)	(40, 0.1301281480005434)	(42, 0.1349304019474037)	(44, 0.13995795712200546)	(46, 0.14555293761091914)	(48, 0.15236621362762015)	(50, 0.1562422291937654)	(52, 0.16008486680024525)	(54, 0.16502480483072535)	(56, 0.16935559509731177)	(58, 0.1741828825139211)	(60, 0.178880830336827)	(62, 0.1836079838744401)	(64, 0.18843527129104948)	(66, 0.19309149666437359)	(68, 0.19739725346121098)	(70, 0.20240811965598005)	(72, 0.20782369361169217)	(74, 0.21261760306863609)	(76, 0.21734892885120738)	(78, 0.22437498936077535)	(80, 0.2309963421094003)	(82, 0.23631595443107434)	(84, 0.24186921247040627)	(86, 0.24727644193620205)	(88, 0.25133603628050705)
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.007471199877599903)	(2, 0.012980364082298407)	(3, 0.018982453505312042)	(4, 0.023679740879844452)	(5, 0.02818372424719446)	(6, 0.0335672408472244)	(7, 0.03967564747418836)	(8, 0.04284583319197978)	(9, 0.04288449399341626)	(10, 0.04713234955124958)	(12, 0.05207609953493955)	(14, 0.06178479329567578)	(16, 0.07450419696827795)	(18, 0.08331402709561599)	(20, 0.08879902829941669)	(22, 0.0927472626461173)	(24, 0.0959561091653452)	(26, 0.09906347108080234)	(28, 0.10246562160721265)	(30, 0.10649601015696575)	(32, 0.1103282620993569)	(34, 0.11388505583151314)	(36, 0.12499520364432179)	(38, 0.13703321069160596)	(40, 0.14141154645428744)	(42, 0.14492967938500717)	(44, 0.1489938961360172)	(46, 0.15342539050067383)	(48, 0.15827248848077258)	(50, 0.1614040133971275)	(52, 0.1647868335228196)	(54, 0.1691941648865784)	(56, 0.17336469884153877)	(58, 0.177327430988778)	(60, 0.18175409275325508)	(62, 0.18539787328864338)	(64, 0.18918179922923894)	(66, 0.19255978675475144)	(68, 0.19614557608798502)	(70, 0.20040309684617746)	(72, 0.20491191281370702)	(74, 0.20897612956471706)	(76, 0.21315632872003654)	(78, 0.21844802591665485)	(80, 0.22353192130555205)	(82, 0.22798274607092692)	(84, 0.23297965465659204)	(86, 0.23719368201316846)	(88, 0.24083746254855676)
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.007450079565542728)	(2, 0.012702712417126033)	(3, 0.018674212595209076)	(4, 0.023502060208406172)	(5, 0.028043994680381785)	(6, 0.032781983877766416)	(7, 0.038565598277332476)	(8, 0.04059149710655901)	(9, 0.04068952446926352)	(10, 0.04373654165999536)	(12, 0.04715116146086911)	(14, 0.054119273159781336)	(16, 0.06317046631616438)	(18, 0.07044082905008217)	(20, 0.0754483934949042)	(22, 0.07965540114430608)	(24, 0.08351114407735012)	(26, 0.08695435519234603)	(28, 0.09082643601917414)	(30, 0.09533977917702761)	(32, 0.09975509497217656)	(34, 0.1037619634227234)	(36, 0.1208840761084444)	(38, 0.13960730238500574)	(40, 0.14572584360714552)	(42, 0.15028411597290525)	(44, 0.1548709796527871)	(46, 0.16011952803092436)	(48, 0.16600525426664098)	(50, 0.16969353378839813)	(52, 0.17321843437231446)	(54, 0.1779237477821309)	(56, 0.18242483751964633)	(58, 0.18703620804020427)	(60, 0.1913289896319726)	(62, 0.1959035998915164)	(64, 0.20073961645160554)	(66, 0.20485676568519492)	(68, 0.20921081437865358)	(70, 0.21445527828334482)	(72, 0.21934030852478623)	(74, 0.22384139826230162)	(76, 0.22862431666759248)	(78, 0.23478778709763853)	(80, 0.24128618435025828)	(82, 0.2463631848436627)	(84, 0.25182821031443914)	(86, 0.2570563363253463)	(88, 0.26130010423576233)
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.00356952586961381)	(2, 0.006194177244329847)	(3, 0.008618400695885748)	(4, 0.010899461345184413)	(5, 0.013123256873580184)	(6, 0.015509303577867489)	(7, 0.01841073637028085)	(8, 0.020271852799624953)	(9, 0.020357750480979295)	(10, 0.02493896015321092)	(12, 0.02833191856670747)	(14, 0.035303947036634975)	(16, 0.04418481286999233)	(18, 0.050541241290213715)	(20, 0.05520357655039111)	(22, 0.059450739684022515)	(24, 0.06311093532839925)	(26, 0.06674249841232452)	(28, 0.07034065684238977)	(30, 0.07485028511349279)	(32, 0.07885884357669545)	(34, 0.08246654619357788)	(36, 0.09430610994025149)	(38, 0.10637473417053667)	(40, 0.1114426973704429)	(42, 0.11612889309766318)	(44, 0.12129229816574091)	(46, 0.1268947358274075)	(48, 0.13350885729169193)	(50, 0.1374410622603574)	(52, 0.1415355184049144)	(54, 0.1465128118300577)	(56, 0.15098426335389215)	(58, 0.15578021722950963)	(60, 0.16079091530851297)	(62, 0.16575866454683913)	(64, 0.17083617193356254)	(66, 0.1753171676442141)	(68, 0.17966931683283413)	(70, 0.18496156842294337)	(72, 0.19019178279874116)	(74, 0.19533132739977602)	(76, 0.20053768130853092)	(78, 0.2076433283938985)	(80, 0.2150353010837806)	(82, 0.2206138782784043)	(84, 0.2264406043302739)	(86, 0.23190465128309184)	(88, 0.2355791632076943)
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.0033879773486391847)	(2, 0.006666665105386782)	(3, 0.010374704830279899)	(4, 0.013200621420619495)	(5, 0.016385632384317162)	(6, 0.020070252910947797)	(7, 0.02408274221325319)	(8, 0.025277121324639815)	(9, 0.02532395972116478)	(10, 0.0265729836284972)	(12, 0.028427003490943757)	(14, 0.03303668234894246)	(16, 0.038446517147576)	(18, 0.04330990398675161)	(20, 0.048114742830271)	(22, 0.053450416834406676)	(24, 0.05788445170543676)	(26, 0.062232616182837736)	(28, 0.06664713505531575)	(30, 0.07240045142846571)	(32, 0.07798202701435744)	(34, 0.08299373544252878)	(36, 0.11008974783222142)	(38, 0.14151440870076298)	(40, 0.1497150312923424)	(42, 0.15585476443682333)	(44, 0.16208427117464375)	(46, 0.1692193202452802)	(48, 0.17687739807711209)	(50, 0.18172907531715643)	(52, 0.18653001096096544)	(54, 0.19224429533701126)	(56, 0.19741603495330953)	(58, 0.20369238008765495)	(60, 0.20946911565906737)	(62, 0.21521852883250692)	(64, 0.22117481159059837)	(66, 0.22627629361210921)	(68, 0.23142461403014503)	(70, 0.23724818799808245)	(72, 0.24365333872287148)	(74, 0.24921149511050078)	(76, 0.25564787143297313)	(78, 0.2641802659999377)	(80, 0.2722403734019422)	(82, 0.27872358812093956)	(84, 0.2851521580439911)	(86, 0.29121773039397414)	(88, 0.29590937644589155)
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.00439809160396025)	(2, 0.007586155492760581)	(3, 0.010862623232896797)	(4, 0.013465011606596895)	(5, 0.016564671644061342)	(6, 0.019459897775311555)	(7, 0.023902191304939747)	(8, 0.026167539995421787)	(9, 0.026261469087466162)	(10, 0.031015938717124193)	(12, 0.035165394489202265)	(14, 0.04310240276695214)	(16, 0.05276604876610601)	(18, 0.059578670559677596)	(20, 0.06442983190173426)	(22, 0.06892185259773889)	(24, 0.07271216772376493)	(26, 0.07645828092412302)	(28, 0.0805359085669907)	(30, 0.08519092386389586)	(32, 0.08969123242096322)	(34, 0.09349259802840626)	(36, 0.10654874182257468)	(38, 0.11932033572025574)	(40, 0.12471297065174469)	(42, 0.1293956121521923)	(44, 0.13423848563318624)	(46, 0.1397388627584908)	(48, 0.14671724177331716)	(50, 0.1509164247117717)	(52, 0.15470121459708924)	(54, 0.15984797631705022)	(56, 0.1645085168546639)	(58, 0.1689452851435836)	(60, 0.173603063060843)	(62, 0.17830504290377036)	(64, 0.18370044045561357)	(66, 0.18835545575251872)	(68, 0.19288339051312853)	(70, 0.1983478535738279)	(72, 0.2039228214486971)	(74, 0.2090253812429902)	(76, 0.21421634488861918)	(78, 0.2215207131052466)	(80, 0.22853224356432394)	(82, 0.23398841876396057)	(84, 0.23972085599902182)	(86, 0.24511349093051077)	(88, 0.24972982954245648)
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.005129157788560821)	(2, 0.011853017362292372)	(3, 0.016273418801888425)	(4, 0.019891806478182242)	(5, 0.02316514172142742)	(6, 0.026531734379010068)	(7, 0.030961461560039868)	(8, 0.03302245041689795)	(9, 0.03314368505553666)	(10, 0.036239831211540646)	(12, 0.039410583299014604)	(14, 0.04595259091478809)	(16, 0.054434352748780945)	(18, 0.06080849701874698)	(20, 0.06555529940852417)	(22, 0.06987311769234901)	(24, 0.07355212268796218)	(26, 0.0769933212770148)	(28, 0.08114793908574908)	(30, 0.08625378252072552)	(32, 0.09220360555545608)	(34, 0.09713225990319134)	(36, 0.11973785713859394)	(38, 0.14428320859221594)	(40, 0.15046151229207327)	(42, 0.15474202761016312)	(44, 0.1596147275092959)	(46, 0.1656251678633458)	(48, 0.17319300703683146)	(50, 0.17729167039696325)	(52, 0.1811805045748357)	(54, 0.18590399261102855)	(56, 0.19040366285281146)	(58, 0.19551883202922166)	(60, 0.20033091460903507)	(62, 0.20500311106734231)	(64, 0.2100669886658669)	(66, 0.2140397545166431)	(68, 0.21805448620387113)	(70, 0.22281994007651584)	(72, 0.2283454418760109)	(74, 0.23366111449324667)	(76, 0.23893948414474744)	(78, 0.24723006827934846)	(80, 0.2554880123189314)	(82, 0.26098087402340836)	(84, 0.26697266289459076)	(86, 0.27288052009286945)	(88, 0.278019003622864)
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.00507496176488291)	(2, 0.011318192812657833)	(3, 0.01577630839617376)	(4, 0.01895400084564004)	(5, 0.02291677025320975)	(6, 0.02669261657551674)	(7, 0.03270219376671326)	(8, 0.035197616954970604)	(9, 0.03530977080612824)	(10, 0.038856636348988394)	(12, 0.042651174979821654)	(14, 0.05039446378682992)	(16, 0.05942284880501941)	(18, 0.06571281062411001)	(20, 0.07063823392078275)	(22, 0.07518513796979846)	(24, 0.07951708047076206)	(26, 0.0836948114263839)	(28, 0.08825106162966276)	(30, 0.09320452338912488)	(32, 0.09884025440979596)	(34, 0.1031955622964174)	(36, 0.12043921691190351)	(38, 0.13771090999017904)	(40, 0.14336066024224484)	(42, 0.14791691044552369)	(44, 0.1528750452821174)	(46, 0.15860891092255142)	(48, 0.16619798818421794)	(50, 0.17023085374876118)	(52, 0.17383846929433172)	(54, 0.1790349310646354)	(56, 0.18393698897565025)	(58, 0.18898391227774378)	(60, 0.19463833560694113)	(62, 0.19971329737182403)	(64, 0.20490508606499613)	(66, 0.20989125936437927)	(68, 0.21486808650949923)	(70, 0.22022810597940778)	(72, 0.22595262546557868)	(74, 0.23142479878664488)	(76, 0.2372567990468418)	(78, 0.24590666481737428)	(80, 0.25493504983556375)	(82, 0.26130912704302256)	(84, 0.2677346080989287)	(86, 0.27416008915483475)	(88, 0.2790107432174024)
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.007098598957669658)	(2, 0.01364443816043881)	(3, 0.0195114495940319)	(4, 0.023768669460721766)	(5, 0.02801619178785197)	(6, 0.03196309038863278)	(7, 0.037548873174995785)	(8, 0.03972112203635918)	(9, 0.039798702352836446)	(10, 0.04332860675255196)	(12, 0.04717852995773618)	(14, 0.055028688231279335)	(16, 0.06471653025137768)	(18, 0.07106841866295367)	(20, 0.0763584264927471)	(22, 0.08097445532314432)	(24, 0.08485347114700753)	(26, 0.08821851737420885)	(28, 0.09211692827719137)	(30, 0.09638869445322072)	(32, 0.10162051704565621)	(34, 0.10570318120027222)	(36, 0.12180109686930451)	(38, 0.13921302914867045)	(40, 0.145123679510282)	(42, 0.14948757231212811)	(44, 0.15430240070349832)	(46, 0.160237294914009)	(48, 0.16640977884373132)	(50, 0.1700463561786031)	(52, 0.17335321716844646)	(54, 0.17813895294113768)	(56, 0.18296347887206754)	(58, 0.1879092240474931)	(60, 0.1925688918059088)	(62, 0.19701036492423213)	(64, 0.20154881343815212)	(66, 0.20589815993065871)	(68, 0.2101747748764679)	(70, 0.21449502875029552)	(72, 0.21924197436474813)	(74, 0.22380466672756721)	(76, 0.2289007237661675)	(78, 0.2351410904728074)	(80, 0.24156571043108085)	(82, 0.2468896596493331)	(84, 0.25256272029173304)	(86, 0.2577848453446089)	(88, 0.26231844508874896)
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.00585582352942457)	(2, 0.011022299803216756)	(3, 0.016326645528135418)	(4, 0.020303090750099066)	(5, 0.02398202820910558)	(6, 0.027885910562055295)	(7, 0.033415201180917155)	(8, 0.03586782615358816)	(9, 0.036005695604714644)	(10, 0.040069216269495014)	(12, 0.04472049617328826)	(14, 0.054062965558832415)	(16, 0.06643493472570836)	(18, 0.07581368554575948)	(20, 0.08234071561356296)	(22, 0.08757975475636909)	(24, 0.0919226424668531)	(26, 0.09580112781564794)	(28, 0.10036170413317376)	(30, 0.10563702471048685)	(32, 0.11213502963068475)	(34, 0.11730150590447694)	(36, 0.14164634845865218)	(38, 0.1682732932433157)	(40, 0.17460803170823225)	(42, 0.17869332123371678)	(44, 0.18353689274039697)	(46, 0.18900813306404768)	(48, 0.19566577629607623)	(50, 0.19969664366980033)	(52, 0.20346628471507427)	(54, 0.20838604723421908)	(56, 0.21312440258082904)	(58, 0.21760515974243955)	(60, 0.22236165580630302)	(62, 0.22670454351678704)	(64, 0.23162793417938252)	(66, 0.23603612847197908)	(68, 0.24015769943197063)	(70, 0.24571238705498735)	(72, 0.2511328333703283)	(74, 0.25632107850482466)	(76, 0.26196646971410886)	(78, 0.26863862551994017)	(80, 0.2757642992571086)	(82, 0.2815511880609699)	(84, 0.28732719243447913)	(86, 0.29295444292650985)	(88, 0.29776898928558443)
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.005859254422970073)	(2, 0.010775640318105881)	(3, 0.015834204800772255)	(4, 0.01947846649168723)	(5, 0.02330980527145821)	(6, 0.02716359330189191)	(7, 0.03208746228058196)	(8, 0.03395823316914201)	(9, 0.03401061475402169)	(10, 0.0366933002082168)	(12, 0.040674300659072585)	(14, 0.04828833817551198)	(16, 0.05777314658051143)	(18, 0.06535725176273388)	(20, 0.07050561324805113)	(22, 0.0748794755855045)	(24, 0.07837781714711181)	(26, 0.0823214021801964)	(28, 0.08680751077096338)	(30, 0.09202696155004593)	(32, 0.09780016051214224)	(34, 0.10248082927531948)	(36, 0.12006981716956107)	(38, 0.13788329757042983)	(40, 0.14352554257032696)	(42, 0.14760382310738787)	(44, 0.15198142698661837)	(46, 0.15674815121066937)	(48, 0.16361762191346188)	(50, 0.16729181593859382)	(52, 0.17042722794782045)	(54, 0.17501061662479256)	(56, 0.17918991878983573)	(58, 0.1831896269495771)	(60, 0.18760838778835595)	(62, 0.1920720471284602)	(64, 0.19618400154151522)	(66, 0.19991806023508107)	(68, 0.20403375618991315)	(70, 0.20899878212815154)	(72, 0.21403489736015519)	(74, 0.21845365819893403)	(76, 0.22324283167364778)	(78, 0.22975685590761386)	(80, 0.2364654403139902)	(82, 0.2416811495512956)	(84, 0.2471587667129994)	(86, 0.25223978044632855)	(88, 0.25643779032025726)
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.003108722204360704)	(2, 0.006217444408721408)	(3, 0.008775818663027825)	(4, 0.010731785026058604)	(5, 0.013029859574258264)	(6, 0.015365119794758887)	(7, 0.018339973578836117)	(8, 0.020489305437831916)	(9, 0.020593425320274618)	(10, 0.025632083917055425)	(12, 0.029279998369780125)	(14, 0.03676175563673436)	(16, 0.04566400558558546)	(18, 0.05241692367544078)	(20, 0.05817326574763021)	(22, 0.0638738293113682)	(24, 0.0682840500462627)	(26, 0.07261246230209506)	(28, 0.07729413844478661)	(30, 0.08321409747510028)	(32, 0.09005254261124782)	(34, 0.09597993877602169)	(36, 0.1298969904817322)	(38, 0.1677073820773538)	(40, 0.17645345220254083)	(42, 0.18136939808072844)	(44, 0.18663488927854516)	(46, 0.19280027374604522)	(48, 0.20005891697919365)	(50, 0.20474431168911528)	(52, 0.20938508359227576)	(54, 0.21437911938229542)	(56, 0.21962601774396162)	(58, 0.22507371873605306)	(60, 0.23053629399706485)	(62, 0.23612901911113005)	(64, 0.2417663670319564)	(66, 0.24686452270441875)	(68, 0.2514272046957472)	(70, 0.25690465422567943)	(72, 0.26265727773063874)	(74, 0.2677033734618798)	(76, 0.2732403200674935)	(78, 0.2803279092080575)	(80, 0.287281629928338)	(82, 0.29288922931132355)	(84, 0.29858607430783146)	(86, 0.3040858352411443)	(88, 0.3084254031986669)
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.003528356569213194)	(2, 0.006898135315090963)	(3, 0.010006260652465283)	(4, 0.012345283546662793)	(5, 0.014914244284696669)	(6, 0.0175783517167318)	(7, 0.020979846027276653)	(8, 0.0230889310776378)	(9, 0.023176148880472282)	(10, 0.027937448026118403)	(12, 0.03186621359925354)	(14, 0.03954534469427147)	(16, 0.04953574756440321)	(18, 0.05679068298199888)	(20, 0.06326065817408419)	(22, 0.0695680910972507)	(24, 0.07492009263482127)	(26, 0.0795426361850489)	(28, 0.08505321554595491)	(30, 0.09199099531687972)	(32, 0.0994917263606453)	(34, 0.10638589723015288)	(36, 0.152476541582594)	(38, 0.2044702454086963)	(40, 0.215015670660502)	(42, 0.22029234773198825)	(44, 0.2254857714462234)	(46, 0.23197556886622567)	(48, 0.23888956196365016)	(50, 0.24361121665346241)	(52, 0.24804743126127093)	(54, 0.2533360016695073)	(56, 0.25810126526073685)	(58, 0.2631797200530538)	(60, 0.2681907792704532)	(62, 0.27318201625993566)	(64, 0.27836751108300406)	(66, 0.2824548544794746)	(68, 0.2865937356685292)	(70, 0.29125988812017406)	(72, 0.2962114806538227)	(74, 0.30105206871113654)	(76, 0.306546790289709)	(78, 0.31265996537928964)	(80, 0.3190030783127066)	(82, 0.3244422976531116)	(84, 0.33001234369776844)	(86, 0.33506701181658505)	(88, 0.3388094484473011)
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.0064337650786060645)	(2, 0.011604134044416549)	(3, 0.016891287524855195)	(4, 0.020639008767013512)	(5, 0.02440796355728604)	(6, 0.02843172092492911)	(7, 0.03367640730913933)	(8, 0.03625628340501602)	(9, 0.03635183437152997)	(10, 0.04041805883540146)	(12, 0.04474970265070059)	(14, 0.05388012833981151)	(16, 0.06551611270639937)	(18, 0.07418470872402619)	(20, 0.07908965833840903)	(22, 0.08285861312868156)	(24, 0.08562428277055761)	(26, 0.08883054853580352)	(28, 0.09271097945367568)	(30, 0.0969205303673181)	(32, 0.10208559094610001)	(34, 0.10595540508991505)	(36, 0.12019780748752237)	(38, 0.13560274664438277)	(40, 0.14026351045545216)	(42, 0.14342200073744113)	(44, 0.14716441359257088)	(46, 0.15160753353546963)	(48, 0.15762724442584858)	(50, 0.16059994116183818)	(52, 0.16354078757565646)	(54, 0.16721419139941504)	(56, 0.17067525974203152)	(58, 0.1742106455030477)	(60, 0.17773010610297824)	(62, 0.18114870734936628)	(64, 0.18510345568563819)	(66, 0.18832564661196977)	(68, 0.19212114333738506)	(70, 0.1965058710229697)	(72, 0.20090121548261147)	(74, 0.20489312252808323)	(76, 0.20919291602121104)	(78, 0.21476672240119155)	(80, 0.22081828361374178)	(82, 0.22586655967789557)	(84, 0.23127580605999093)	(86, 0.23623914793168785)	(88, 0.2403106807825879)
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.003890728744583824)	(2, 0.007125301335092941)	(3, 0.009934758670849432)	(4, 0.012152751304341397)	(5, 0.014758892648694457)	(6, 0.017355792357074636)	(7, 0.021052446746227912)	(8, 0.022660491405509586)	(9, 0.022752907765238417)	(10, 0.02692550640699518)	(12, 0.03002145445791105)	(14, 0.03619948810578347)	(16, 0.044567789479229195)	(18, 0.05044084913999646)	(20, 0.05581486045822803)	(22, 0.060953210059151094)	(24, 0.06521822506063668)	(26, 0.06928454488870528)	(28, 0.07374825506360787)	(30, 0.07915923292573097)	(32, 0.08558679074487124)	(34, 0.09090073142927907)	(36, 0.11590397755391454)	(38, 0.14248292261192663)	(40, 0.14934021650380594)	(42, 0.15404420921400347)	(44, 0.15898848445949598)	(46, 0.16428856268994452)	(48, 0.17137689748114593)	(50, 0.17558646266679417)	(52, 0.1793755334156763)	(54, 0.18407028448990098)	(56, 0.1887188273842612)	(58, 0.19301156729366548)	(60, 0.19716568266347645)	(62, 0.20163863447435193)	(64, 0.20643042272629186)	(66, 0.2106353670939537)	(68, 0.21463699547021214)	(70, 0.2194195420861792)	(72, 0.2245671333230751)	(74, 0.2293635423930015)	(76, 0.23461279162559914)	(78, 0.24122980298218352)	(80, 0.24737549090415084)	(82, 0.25251846132306033)	(84, 0.2577122607398207)	(86, 0.2625086698097471)	(88, 0.2663439487384936)
cell_line_1_0h_rep1 - polya	(1, 0.004481427835402308)	(2, 0.010926518193041636)	(3, 0.015242687301324985)	(4, 0.0184798141325375)	(5, 0.02115311707122651)	(6, 0.02374865119715366)	(7, 0.026810798199651986)	(8, 0.027403785396961183)	(9, 0.027500996412913512)	(10, 0.028157170770591725)	(12, 0.02919732864128163)	(14, 0.031238759976280513)	(16, 0.03462656388221913)	(18, 0.040386316577394554)	(20, 0.04530519398458233)	(22, 0.04981092457397272)	(24, 0.0536313175008992)	(26, 0.05720868288794486)	(28, 0.06155887585181153)	(30, 0.0668909000767967)	(32, 0.07309296289455522)	(34, 0.07823542563843335)	(36, 0.10178479425288474)	(38, 0.1273172675927636)	(40, 0.13376721850120055)	(42, 0.1382292041334124)	(44, 0.1433084797169215)	(46, 0.14955428749185856)	(48, 0.15742351923319953)	(50, 0.1616910828335067)	(52, 0.16573992164792115)	(54, 0.17064421740271607)	(56, 0.17532492782082065)	(58, 0.18066181259660347)	(60, 0.18567304046894595)	(62, 0.19052387016496708)	(64, 0.19579270722958325)	(66, 0.19992903595835482)	(68, 0.20411397019510252)	(70, 0.20906687145787362)	(72, 0.2148169030514538)	(74, 0.2203627915115341)	(76, 0.22588923776842393)	(78, 0.23453615763738345)	(80, 0.24304212153321214)	(82, 0.248631754950471)	(84, 0.25467341959190815)	(86, 0.26047691724426214)	(88, 0.2653763524482594)
cell_line_1_0h_rep2 - polya	(1, 0.004249652390184674)	(2, 0.010349959853514286)	(3, 0.014570236766347453)	(4, 0.017527368153065822)	(5, 0.0206803360554609)	(6, 0.023471006403854064)	(7, 0.027652116013551886)	(8, 0.02843546207625874)	(9, 0.028533380334097094)	(10, 0.029346101874155456)	(12, 0.030731645222568202)	(14, 0.033605546090123964)	(16, 0.03785519848030863)	(18, 0.04343653917709496)	(20, 0.048587039539392515)	(22, 0.05334586687033664)	(24, 0.05788437812114447)	(26, 0.06225153242073517)	(28, 0.06702504749035505)	(30, 0.07221471515578795)	(32, 0.07811918610344085)	(34, 0.08268707283160018)	(36, 0.10075299140277696)	(38, 0.11881890997395374)	(40, 0.12471848500871473)	(42, 0.12948710416544268)	(44, 0.13469145956955134)	(46, 0.14069874468793453)	(48, 0.1486301235728414)	(50, 0.15282102500832306)	(52, 0.15658108610931593)	(54, 0.16201554941934473)	(56, 0.16712688247850693)	(58, 0.1724144684017782)	(60, 0.17832873117521492)	(62, 0.18366527622740536)	(64, 0.18912421910189375)	(66, 0.19433836633178622)	(68, 0.19953292991011104)	(70, 0.20510937469400545)	(72, 0.2110823884221452)	(74, 0.21680571059279713)	(76, 0.2229207057948025)	(78, 0.2319340814288232)	(80, 0.24131465052973777)	(82, 0.24795840432407026)	(84, 0.25454830307659165)	(86, 0.2609570530521121)	(88, 0.2656522335154613)
